lineage_record_id,decision_package_id,approval_package_id,lineage_reference_count,lineage_complete,lineage_ids,source_phase_list,audit_traceability_status,decision_readiness_id,decision_scorecard_id,readiness_lineage_id,reconciliation_status,governance_note
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Matched,Lineage reconciled from Step 2D-3
