queue_assignment_id,decision_readiness_id,decision_scorecard_id,decision_package_id,final_readiness_status,primary_queue,secondary_queue,queue_entry_date,queue_priority,queue_status,governance_note
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Requires Lineage Completion,Lineage Completion Queue,,2026-07-29T13:40:33.075843,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Requires Baseline Validation,Baseline Validation Queue,,2026-07-29T13:40:33.075986,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076032,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076069,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076102,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Requires Evidence Completion,Evidence Completion Queue,,2026-07-29T13:40:33.076135,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076168,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076200,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076232,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076264,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Requires Additional Scenario Analysis,Additional Scenario Queue,,2026-07-29T13:40:33.076295,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076326,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076356,Standard,Active,Exactly one primary queue assigned
