secondary_condition_id,decision_readiness_id,decision_scorecard_id,decision_package_id,condition_type,condition_category,condition_description,severity,blocking_flag,source_phase,source_record_id,responsible_role,required_action,current_status,visibility_required
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
SC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703-CF-monitoring_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,monitoring_condition,Secondary,Derived from package_readiness = Monitoring Only,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703-CF-monitoring_condition,Operations Manager,Review and resolve before proceeding,Pending,True
