action_block_id,decision_action_routing_id,action_id,action_name,blocking_condition_id,blocking_reason,blocking_severity,source_phase,source_record_id,resolution_required,responsible_role,current_status
BLK-EC8A0CD6,DAR-CF860C38,A001,Review Integrated Decision Package,ACTBLK-010,Action blocked due to lineage deficiency,Critical,2D-4,,True,,Active
BLK-F06B47C8,DAR-23F2E917,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-6BA0D57D,DAR-23F2E917,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-85161177,DAR-814A2C66,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-EF85FB4C,DAR-0CCD9938,A010,Proceed to Limited-Trial Consideration,ACTBLK-008,Action blocked due to incomplete scenario analysis,Critical,2D-4,,True,,Active
BLK-B0AD5D4B,DAR-C0188C2C,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-DC4E3356,DAR-0065947D,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-B96B293C,DAR-CB286D43,A001,Review Integrated Decision Package,ACTBLK-010,Action blocked due to lineage deficiency,Critical,2D-4,,True,,Active
BLK-CE62D678,DAR-FA923347,A010,Proceed to Limited-Trial Consideration,ACTBLK-008,Action blocked due to incomplete scenario analysis,Critical,2D-4,,True,,Active
BLK-2EEB2D95,DAR-82C838CB,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-5B5A32A7,DAR-1E4C9848,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-A21F598E,DAR-AF9E3D40,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-148AB478,DAR-AF9E3D40,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-AE28C43A,DAR-76298A2F,A010,Proceed to Limited-Trial Consideration,ACTBLK-004,Action blocked due to missing mandatory cost data,Critical,2D-4,,True,,Active
BLK-2C133272,DAR-117F321A,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
