management_selection_id,decision_action_routing_id,decision_package_id,eligible_action_id,selected_flag,selected_by,selected_timestamp,management_comment,approval_reference,decision_status,audit_status,governance_note
SEL-2AEB1018,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-F0E06AC2,DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-94994F12,DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-735D3DCE,DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-BF662290,DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-C4D75CBE,DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-4602E2F0,DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-70DBBE71,DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A4843ABF,DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-DED2382B,DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-872DE2AB,DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-B60B612C,DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-FE929081,DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-013C27A8,DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-DA82018F,DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-875FF0FB,DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
