decision_action_routing_id,decision_package_id,secondary_permitted_action,assigned_flag,selected_flag,governance_note
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Request Evidence Completion,False,False,Secondary action for Requires Lineage Completion
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Defer Decision,False,False,Secondary action for Requires Lineage Completion
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Request Evidence Completion,False,False,Secondary action for Requires Baseline Validation
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Continue Monitoring,False,False,Secondary action for Requires Baseline Validation
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Defer Decision,False,False,Secondary action for Requires Baseline Validation
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Request Stakeholder Review,False,False,Secondary action for Requires Evidence Completion
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Continue Monitoring,False,False,Secondary action for Requires Evidence Completion
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Defer Decision,False,False,Secondary action for Requires Evidence Completion
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validate Baseline,False,False,Secondary action for Ready with Conditions
