panel_type,decision_action_routing_id,decision_package_id,final_readiness_status,primary_permitted_action,primary_queue,responsible_role,escalation_status,approval_status,action_id,action_name,action_eligibility_status,enabled_flag,disabled_reason,confirmation_required,audit_required,management_selection_required,selected_flag,governance_note
Action Summary,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Requires Lineage Completion,Request Lineage Completion,,Data Owner,Standard Review,Pending Management Review,,Request Lineage Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Requires Baseline Validation,Validate Baseline,,Data Owner,Standard Review,Pending Management Review,,Validate Baseline,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Requires Evidence Completion,Request Evidence Completion,,Data Owner,Standard Review,Pending Management Review,,Request Evidence Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Requires Additional Scenario Analysis,Request Additional Scenario,,Analytics Team,Standard Review,Pending Management Review,,Request Additional Scenario,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
