audit_event_contract_id,decision_action_routing_id,decision_package_id,action_id,audit_event_type,event_allowed,event_status,actor_role_required,actor_id,actor_name,event_timestamp,event_reason,management_comment,evidence_attachment_reference,approval_reference,previous_status,new_status,previous_version,new_version,source_snapshot_checksum,result_snapshot_checksum,audit_sequence_number,audit_integrity_status,governance_note
AEC-19419787,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A001,Decision Package Review,True,Not Executed,Hospital COO / General Manager,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-B8CA4775,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A002,Scenario Comparison,True,Not Executed,Analytics Team,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-CF167209,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A003,Assumption Validation,True,Not Executed,Analytics Team,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-713AB706,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A004,Baseline Validation,True,Not Executed,Data Owner,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-D690C4BF,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A005,Financial Validation,True,Not Executed,Finance,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-589BE575,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A006,Benefit Validation,True,Not Executed,Finance,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-821E6B0C,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A007,Budget Information,True,Not Executed,Finance,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-5A675497,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A008,Additional Scenario Request,True,Not Executed,Analytics Team,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-116DD069,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A009,Stakeholder Review Request,True,Not Executed,Stakeholder Owner,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-CF111824,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A010,Limited-Trial Consideration,True,Not Executed,Hospital COO / General Manager,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-3CE23415,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A012,Escalation,True,Not Executed,Hospital COO / General Manager,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-866D9FA3,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A013,Decision Deferral,True,Not Executed,Hospital COO / General Manager,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-77059163,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A014,Decision Rejection,True,Not Executed,Hospital COO / General Manager,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
AEC-CA6368E7,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A015,Evidence Request,True,Not Executed,Data Owner,,,,,,,,,,,,,,0,Awaiting Event,Audit event contract for future management action
