decision_history_id,decision_package_id,current_package_version,current_readiness_status,current_primary_action,current_queue,current_approval_status,prior_version,prior_readiness_status,prior_primary_action,prior_queue,prior_approval_status,change_reason,changed_by,changed_timestamp,change_event_id,history_status,governance_note
HST-63D6AD72,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,1.0,Requires Lineage Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-4A49808B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,1.0,Requires Baseline Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-F679BFA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-07E356DB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-BC036F24,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-61770F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,1.0,Requires Evidence Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-6D3E16D3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-49DC5B8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-3DA6222F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-7A4AA7AF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-ECBD6AFD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,1.0,Requires Additional Scenario Analysis,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-316A5F84,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-0A93C111,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-193AB63C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-131C7DB8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,1.0,Requires Evidence Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-3003B8CE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-6F5AC1FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,1.0,Requires Evidence Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-B520F935,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,1.0,Requires Lineage Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-85D44F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-2B11D20B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,1.0,Requires Additional Scenario Analysis,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-6B847051,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-064183B5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-4DC880F3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-7AAAC7CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-DE98420F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-E6B85100,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-28B6B8AC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,1.0,Requires Stakeholder Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-AC23CE85,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,1.0,Requires Stakeholder Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-06F0B20E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-3196E25C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,1.0,Requires Baseline Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-5E841476,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-7ED4A1D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,1.0,Requires Financial Input,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-49992E11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-09CAAD42,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-DD8FF38C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-49774CF7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-0626266A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-BC2F1C10,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-E1896091,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-F87940E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-12ED96CF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-D9D0259A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-7DCBE0E4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-8C5147EA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-22B3AD6D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-4B472038,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-1E1BEEE0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-8EA4902C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-53906ACE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-6F2EE6CE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-5840EAC8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-9FAA6207,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-280BE113,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-91DECF12,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-75FD16F3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-8E4B1DAB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-79CD3497,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
