evidence_completeness_id,decision_evidence_profile_id,decision_package_id,expected_evidence_category_count,available_evidence_category_count,conditional_evidence_category_count,missing_evidence_category_count,critical_missing_evidence_count,evidence_coverage_pct,evidence_completeness_status,management_use_limitation,governance_note
EVC-D18ECFB9,EVP-F83824E1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-04A27728,EVP-0626424C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-FB699B0A,EVP-0D8E5275,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-BE1D289E,EVP-9A215335,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-BFC91B1A,EVP-F263C7E3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-9BE30F18,EVP-C03768AA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-AEF56996,EVP-CA6B09EC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-31889AFD,EVP-FE83D7D9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-5A728023,EVP-E8B4A4C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-4999F6E4,EVP-EA49C337,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-088160ED,EVP-25BF7A31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-3FD0F32A,EVP-963E80C1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-DD8B61BC,EVP-2D579C93,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-8BB4A0D3,EVP-8D3541C7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-71F6AEEB,EVP-E8FDB805,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-470A4583,EVP-12ED26C6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-DFE6703B,EVP-8948B9DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-23D76068,EVP-9FE294A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-70DE8FD5,EVP-63A3D3E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-98D10781,EVP-15719B9F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-781C1C22,EVP-2C398029,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-441BB071,EVP-B0F96DAC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-508CF87B,EVP-3F113106,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-88AC4762,EVP-7FD5786F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-BE2A1DAD,EVP-EB6F3E41,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-ABFE5207,EVP-4EC9FD2E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-61656459,EVP-91FC52D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-5EEF4402,EVP-64FB2738,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-39F609DB,EVP-9327EE7B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-B9E19556,EVP-61BFF5E0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-44BE750E,EVP-11C4ADF5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-682507BB,EVP-C57EEAB2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
