management_review_id,decision_package_id,reviewer_role,reviewer_id,reviewer_name,review_timestamp,review_status,review_outcome,selected_action_id,selected_scenario_id,management_comment,conditions_imposed,evidence_reviewed_flag,financial_reviewed_flag,governance_reviewed_flag,approval_reference,audit_event_id,governance_note
MRV-39A32FE0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-FEC6D796,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-EB166384,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-17753FC7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-BC648CA4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-42E38BAF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-E0F68646,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-72D165A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-4D71125E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-FF93908E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D8CC6F31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-1262AF84,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-DCE9D443,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-A8841D79,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-F2A7AFBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-10C8C83C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-0CA4133C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-7C3C0029,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-4473D901,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-2AE14973,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-E633E5BC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-34814CB0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-B6521D34,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D0BA9A84,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-5681EDA4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-3EBF959F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
