retention_record_id,object_type,object_id,record_class,retention_status,retention_period_rule,archival_required,deletion_permitted,legal_hold_flag,sensitive_data_flag,access_classification,governance_note
RET-A87609D0,Evidence Profile,EVP-F83824E1,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8214DC38,Evidence Profile,EVP-0626424C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C5A6B2DC,Evidence Profile,EVP-0D8E5275,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E6257727,Evidence Profile,EVP-9A215335,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-F886DA31,Evidence Profile,EVP-F263C7E3,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C7947648,Evidence Profile,EVP-C03768AA,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2625E3D5,Evidence Profile,EVP-CA6B09EC,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-964B207D,Evidence Profile,EVP-FE83D7D9,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-7A2ECB7A,Evidence Profile,EVP-E8B4A4C0,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-5E49D240,Evidence Profile,EVP-EA49C337,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-466CC8ED,Evidence Profile,EVP-25BF7A31,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-03E1A3F7,Evidence Profile,EVP-963E80C1,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-CFDD6AED,Evidence Profile,EVP-2D579C93,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-A3FC7919,Evidence Profile,EVP-8D3541C7,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
