integrated_management_brief_id,decision_package_id,decision_evidence_profile_id,evidence_completeness_status,evidence_coverage_pct,critical_missing_evidence_count,governance_note
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EVP-F83824E1,Complete,100.0,0,Brief evidence cross-reference
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EVP-0626424C,Complete,100.0,0,Brief evidence cross-reference
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EVP-0D8E5275,Complete,100.0,0,Brief evidence cross-reference
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EVP-9A215335,Complete,100.0,0,Brief evidence cross-reference
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EVP-F263C7E3,Complete,100.0,0,Brief evidence cross-reference
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EVP-C03768AA,Complete,100.0,0,Brief evidence cross-reference
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EVP-CA6B09EC,Complete,100.0,0,Brief evidence cross-reference
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EVP-FE83D7D9,Complete,100.0,0,Brief evidence cross-reference
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EVP-E8B4A4C0,Complete,100.0,0,Brief evidence cross-reference
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EVP-EA49C337,Complete,100.0,0,Brief evidence cross-reference
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EVP-25BF7A31,Complete,100.0,0,Brief evidence cross-reference
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EVP-963E80C1,Complete,100.0,0,Brief evidence cross-reference
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EVP-2D579C93,Complete,100.0,0,Brief evidence cross-reference
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EVP-8D3541C7,Complete,100.0,0,Brief evidence cross-reference
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EVP-E8FDB805,Complete,100.0,0,Brief evidence cross-reference
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EVP-12ED26C6,Complete,100.0,0,Brief evidence cross-reference
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EVP-8948B9DF,Complete,100.0,0,Brief evidence cross-reference
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EVP-9FE294A7,Complete,100.0,0,Brief evidence cross-reference
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EVP-63A3D3E5,Complete,100.0,0,Brief evidence cross-reference
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EVP-15719B9F,Complete,100.0,0,Brief evidence cross-reference
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EVP-2C398029,Complete,100.0,0,Brief evidence cross-reference
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EVP-B0F96DAC,Complete,100.0,0,Brief evidence cross-reference
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EVP-3F113106,Complete,100.0,0,Brief evidence cross-reference
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EVP-7FD5786F,Complete,100.0,0,Brief evidence cross-reference
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EVP-EB6F3E41,Complete,100.0,0,Brief evidence cross-reference
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EVP-4EC9FD2E,Complete,100.0,0,Brief evidence cross-reference
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EVP-91FC52D2,Complete,100.0,0,Brief evidence cross-reference
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EVP-64FB2738,Complete,100.0,0,Brief evidence cross-reference
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EVP-9327EE7B,Complete,100.0,0,Brief evidence cross-reference
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EVP-61BFF5E0,Complete,100.0,0,Brief evidence cross-reference
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,EVP-11C4ADF5,Complete,100.0,0,Brief evidence cross-reference
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,EVP-C57EEAB2,Complete,100.0,0,Brief evidence cross-reference
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,EVP-1522DB02,Complete,100.0,0,Brief evidence cross-reference
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,EVP-D2C56DE0,Complete,100.0,0,Brief evidence cross-reference
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,EVP-6536A98F,Complete,100.0,0,Brief evidence cross-reference
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,EVP-6BD47B07,Complete,100.0,0,Brief evidence cross-reference
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EVP-38BC3D2D,Complete,100.0,0,Brief evidence cross-reference
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EVP-E97125F4,Complete,100.0,0,Brief evidence cross-reference
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EVP-35CAD127,Complete,100.0,0,Brief evidence cross-reference
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,EVP-D1256BFE,Complete,100.0,0,Brief evidence cross-reference
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,EVP-7E15635D,Complete,100.0,0,Brief evidence cross-reference
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,EVP-455633B3,Complete,100.0,0,Brief evidence cross-reference
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,EVP-C2B0FF08,Complete,100.0,0,Brief evidence cross-reference
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,EVP-432333BE,Complete,100.0,0,Brief evidence cross-reference
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,EVP-9433FEBD,Complete,100.0,0,Brief evidence cross-reference
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,EVP-EE22A030,Complete,100.0,0,Brief evidence cross-reference
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,EVP-7987109B,Complete,100.0,0,Brief evidence cross-reference
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,EVP-50D03745,Complete,100.0,0,Brief evidence cross-reference
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,EVP-78F172BE,Complete,100.0,0,Brief evidence cross-reference
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,EVP-FEB78607,Complete,100.0,0,Brief evidence cross-reference
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,EVP-0D098FF6,Complete,100.0,0,Brief evidence cross-reference
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,EVP-2BC16114,Complete,100.0,0,Brief evidence cross-reference
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,EVP-39B8A433,Complete,100.0,0,Brief evidence cross-reference
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,EVP-207BB9CC,Complete,100.0,0,Brief evidence cross-reference
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,EVP-7784E74F,Complete,100.0,0,Brief evidence cross-reference
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,EVP-9FADD9C5,Complete,100.0,0,Brief evidence cross-reference
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,EVP-9CE19F00,Complete,100.0,0,Brief evidence cross-reference
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,EVP-8186C30E,Complete,100.0,0,Brief evidence cross-reference
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,EVP-80D8C8A3,Complete,100.0,0,Brief evidence cross-reference
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,EVP-86BDB905,Complete,100.0,0,Brief evidence cross-reference
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,EVP-7E7FB542,Complete,100.0,0,Brief evidence cross-reference
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,EVP-958234E4,Complete,100.0,0,Brief evidence cross-reference
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,EVP-E904D992,Complete,100.0,0,Brief evidence cross-reference
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,EVP-7484428C,Complete,100.0,0,Brief evidence cross-reference
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,EVP-396BE1A3,Complete,100.0,0,Brief evidence cross-reference
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,EVP-40731416,Complete,100.0,0,Brief evidence cross-reference
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,EVP-EAF6379F,Complete,100.0,0,Brief evidence cross-reference
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,EVP-41010DBE,Complete,100.0,0,Brief evidence cross-reference
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,EVP-F7363BAD,Complete,100.0,0,Brief evidence cross-reference
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,EVP-DCD466E5,Complete,100.0,0,Brief evidence cross-reference
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,EVP-5319ABD2,Complete,100.0,0,Brief evidence cross-reference
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,EVP-9A3B1CAD,Complete,100.0,0,Brief evidence cross-reference
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,EVP-8830DAFE,Complete,100.0,0,Brief evidence cross-reference
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,EVP-65DC9F18,Complete,100.0,0,Brief evidence cross-reference
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,EVP-4178E61D,Complete,100.0,0,Brief evidence cross-reference
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,EVP-999C4A09,Complete,100.0,0,Brief evidence cross-reference
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,EVP-F1A9F8D4,Complete,100.0,0,Brief evidence cross-reference
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,EVP-A8A493CE,Complete,100.0,0,Brief evidence cross-reference
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,EVP-54939543,Complete,100.0,0,Brief evidence cross-reference
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,EVP-93A61297,Complete,100.0,0,Brief evidence cross-reference
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,EVP-EF413523,Complete,100.0,0,Brief evidence cross-reference
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,EVP-ED2E16BE,Complete,100.0,0,Brief evidence cross-reference
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,EVP-C2759EAF,Complete,100.0,0,Brief evidence cross-reference
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,EVP-C27AB1EE,Complete,100.0,0,Brief evidence cross-reference
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,EVP-C0763A8A,Complete,100.0,0,Brief evidence cross-reference
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,EVP-698280F8,Complete,100.0,0,Brief evidence cross-reference
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,EVP-3BFCCA9C,Complete,100.0,0,Brief evidence cross-reference
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,EVP-EE4342E5,Complete,100.0,0,Brief evidence cross-reference
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,EVP-637C62FB,Complete,100.0,0,Brief evidence cross-reference
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,EVP-39746C2F,Complete,100.0,0,Brief evidence cross-reference
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,EVP-D58A9BF2,Complete,100.0,0,Brief evidence cross-reference
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,EVP-D9E78F20,Complete,100.0,0,Brief evidence cross-reference
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,EVP-F0FE672C,Complete,100.0,0,Brief evidence cross-reference
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,EVP-C761C428,Complete,100.0,0,Brief evidence cross-reference
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,EVP-CEE8B22F,Complete,100.0,0,Brief evidence cross-reference
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,EVP-9452C9D4,Complete,100.0,0,Brief evidence cross-reference
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,EVP-C00E9FB9,Complete,100.0,0,Brief evidence cross-reference
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,EVP-CB4B69FE,Complete,100.0,0,Brief evidence cross-reference
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,EVP-9B619E83,Complete,100.0,0,Brief evidence cross-reference
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,EVP-A8336271,Complete,100.0,0,Brief evidence cross-reference
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,EVP-710AACAE,Complete,100.0,0,Brief evidence cross-reference
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,EVP-CBD06D0D,Complete,100.0,0,Brief evidence cross-reference
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,EVP-989C7FF3,Complete,100.0,0,Brief evidence cross-reference
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,EVP-947F6AAD,Complete,100.0,0,Brief evidence cross-reference
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,EVP-E5EBDCDD,Complete,100.0,0,Brief evidence cross-reference
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,EVP-B75D0D09,Complete,100.0,0,Brief evidence cross-reference
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,EVP-C24AD872,Complete,100.0,0,Brief evidence cross-reference
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,EVP-EE944DC9,Complete,100.0,0,Brief evidence cross-reference
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,EVP-76E6AABB,Complete,100.0,0,Brief evidence cross-reference
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,EVP-B338E365,Complete,100.0,0,Brief evidence cross-reference
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,EVP-2ACCFA03,Complete,100.0,0,Brief evidence cross-reference
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,EVP-C4629BA2,Complete,100.0,0,Brief evidence cross-reference
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,EVP-C0852EDB,Complete,100.0,0,Brief evidence cross-reference
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,EVP-41F8F15C,Complete,100.0,0,Brief evidence cross-reference
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,EVP-A40EEE98,Complete,100.0,0,Brief evidence cross-reference
