integrated_management_brief_id,decision_package_id,no_preferred_scenario_selected,no_action_selected,no_recommendation_approved,no_budget_approved,no_management_review_fabricated,causality_not_confirmed,approval_status_pending,no_prohibited_wording,governance_passed,prohibited_words_found,governance_note
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,True,True,True,True,True,True,True,True,True,,All governance checks passed
