integrated_management_brief_id,decision_package_id,decision_lineage_profile_id,lineage_completeness_status,orphaned_lineage_flag,governance_note
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,LNP-B90B2EDA,Complete,False,Brief lineage cross-reference
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,LNP-E82F577C,Complete,False,Brief lineage cross-reference
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,LNP-93738EA1,Complete,False,Brief lineage cross-reference
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,LNP-0B75A024,Complete,False,Brief lineage cross-reference
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,LNP-841AA435,Complete,False,Brief lineage cross-reference
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,LNP-8DE9FE1A,Complete,False,Brief lineage cross-reference
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,LNP-F801B162,Complete,False,Brief lineage cross-reference
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,LNP-2E86CC3B,Complete,False,Brief lineage cross-reference
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,LNP-D0A74D95,Complete,False,Brief lineage cross-reference
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,LNP-FA455A67,Complete,False,Brief lineage cross-reference
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,LNP-971A1A17,Complete,False,Brief lineage cross-reference
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,LNP-F1ECE539,Complete,False,Brief lineage cross-reference
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,LNP-C8264A5D,Complete,False,Brief lineage cross-reference
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,LNP-13CEF206,Complete,False,Brief lineage cross-reference
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,LNP-D03BA371,Complete,False,Brief lineage cross-reference
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,LNP-ECB5898B,Complete,False,Brief lineage cross-reference
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,LNP-0C121E35,Complete,False,Brief lineage cross-reference
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,LNP-BE9C7FDC,Complete,False,Brief lineage cross-reference
