integrated_management_brief_id,decision_package_id,export_type,export_appendix,display_order,available_flag,governance_note
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
