integrated_management_brief_id,decision_package_id,brief_type,final_readiness_status,governance_note
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Integrated Management Review Brief,Requires Additional Scenario Analysis,Brief type mapped from readiness
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
