integrated_management_brief_id,decision_package_id,hospital_name,department_name,dominant_kpi_name,risk_tier,urgency,management_attention_level,final_readiness_status,primary_permitted_action,main_blocking_condition,top_management_questions,central_financial_estimate,financial_confidence,evidence_completeness_status,lineage_completeness_status,approval_status
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,Admissions,Staffing Level,,,Conditional Review,Requires Lineage Completion,Request Lineage Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,Admissions,Staffing Level,,,Conditional Review,Requires Baseline Validation,Validate Baseline,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,Admissions,Staffing Level,,,Conditional Review,Requires Evidence Completion,Request Evidence Completion,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,Admissions,Staffing Level,,,Standard Management Review,Ready for Integrated Management Review,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,Admissions,Staffing Level,,,Conditional Review,Ready with Conditions,Review Integrated Decision Package,None,,,Moderate,Complete,Complete,Pending Management Review
