integrated_management_brief_id,decision_package_id,representative_recommendation,immediate_action_option,near_term_action_option,preventive_action_option,recommendation_readiness,recommendation_validation_status,recommendation_confirmation_required,recommendation_limitations
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,,,,0.0,,,
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,,,,0.0,,,
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,,,,0.0,,,
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,,,,0.0,,,
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,,,,0.0,,,
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,,,,0.0,,,
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,,,,0.0,,,
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,,,,0.0,,,
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,,,,0.0,,,
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,,,,0.0,,,
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,,,,0.0,,,
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,,,,0.0,,,
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,,,,0.0,,,
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,,,,,0.0,,,
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,,,,,0.0,,,
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,,,,,0.0,,,
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,,,,,0.0,,,
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,,,,,0.0,,,
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,,,,,0.0,,,
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,,,,,0.0,,,
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,,,,,0.0,,,
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,,,,,0.0,,,
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,,,,,0.0,,,
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,,,,,0.0,,,
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,,,,,0.0,,,
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,,,,,0.0,,,
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,,,,,0.0,,,
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,,,,,0.0,,,
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,,,,,0.0,,,
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,,,,,0.0,,,
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,,,,,0.0,,,
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,,,,,0.0,,,
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,,,,,0.0,,,
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,,,,,0.0,,,
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,,,,,0.0,,,
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,,,,,0.0,,,
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,,,,,0.0,,,
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,,,,,0.0,,,
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,,,,,0.0,,,
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,,,,,0.0,,,
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,,,,,0.0,,,
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,,,,,0.0,,,
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,,,,,0.0,,,
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,,,,,0.0,,,
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,,,,,0.0,,,
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,,,,,0.0,,,
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,,,,,0.0,,,
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,,,,,0.0,,,
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,,,,,0.0,,,
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,,,,,0.0,,,
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,,,,,0.0,,,
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,,,,,0.0,,,
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,,,,,0.0,,,
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,,,,,0.0,,,
