integrated_management_brief_id,decision_package_id,scenario_readiness,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,comparator_completeness,comparator_consistency,scenario_validation_status,scenario_confidence
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,1.0,Baseline value: 84.55182072829132,Estimated impact: 11.833721440383371%,Estimated impact: 15.448179271708682%,Estimated impact: 15.448179271708682%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,1.0,Baseline value: 83.33333333333334,Estimated impact: 11.1111111111111%,Estimated impact: 16.666666666666657%,Estimated impact: 16.666666666666657%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,1.0,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
