decision_package_id,integrated_management_brief_id,streamlit_ready,validation_outcome,correction_classification,handover_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,IMB-6779686B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,IMB-13EA9939,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,IMB-9332DC7F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,IMB-67568966,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,IMB-054E896F,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,IMB-C2279558,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,IMB-03B9E920,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,IMB-27792F9B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,IMB-6FD595C3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,IMB-DBBE6786,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,IMB-C95CA297,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,IMB-8D8019FF,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,IMB-4BE80CE6,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,IMB-7923F3A5,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,IMB-1EA09D3F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
