decision_package_id,package_version,evidence_completeness,lineage_completeness,source_to_decision_trace,audit_requirements,audit_event_status,actor,timestamp,approval_reference,integrity_status,checksum,source_manifest,retention_classification
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
