issue_id,decision_package_id,issue_type,issue_description,severity,resolution_status,governance_note
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
