decision_package_id,cost_completeness,cost_components,benefit_components,net_financial_impact,lower_estimate,central_estimate,upper_estimate,financial_confidence,missing_input_warning,budget_info,affordability_status,roi_status,payback_status,double_counting_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250209,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250328,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250410,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250420,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250506,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250602,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250608,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250721,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250726,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250822,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251012,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251021,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251127,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251205,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251220,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250202,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250206,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250330,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250409,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250524,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250529,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250611,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250620,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250624,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250710,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250716,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250814,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250925,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
