decision_package_id,issue_type,issue_description,severity,visibility_rule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,No Outstanding Condition,No outstanding conditions,None,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Display Condition,Validation outcome: Validated with Conditions,Medium,Always visible
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Scenario Condition,scenario:ready_review_scenario_present,Medium,Always visible
