decision_package_id,integrated_management_brief_id,executive_headline,issue_summary,why_it_matters,evidence_summary,recommendation_summary,scenario_summary,financial_summary,readiness,blocking_conditions,secondary_conditions,primary_permitted_action,management_questions,confirmations,monitoring,escalation,governance_and_limitations,audit_status,management_boundary
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,IMB-6779686B,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Requires Lineage Completion,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,IMB-13EA9939,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Requires Baseline Validation,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250209,IMB-9332DC7F,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Ready with Conditions,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250328,IMB-67568966,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: 15.448179271708682%,-72780.0,Ready for Integrated Management Review,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,6,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250410,IMB-054E896F,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: 16.666666666666657%,-72780.0,Ready for Integrated Management Review,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250420,IMB-C2279558,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Requires Evidence Completion,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250506,IMB-03B9E920,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: 25.0%,-72780.0,Ready for Integrated Management Review,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250602,IMB-27792F9B,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Ready with Conditions,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250608,IMB-6FD595C3,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Ready with Conditions,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250721,IMB-DBBE6786,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Ready with Conditions,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
