decision_package_id,kpi_id,kpi_name,current_value,threshold_status,prior_comparison,trend,breach_flag,watch_flag,confidence_status,hospital_id,department_id,reporting_date
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,kpi_001,Staffing Level,Dominant,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,kpi_002,Staff Absenteeism Rate,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,kpi_003,Bed Occupancy Rate,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,kpi_004,Average Patient Waiting Time,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,kpi_005,Patient Complaint Rate,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,kpi_006,Patient Satisfaction Score,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,kpi_001,Staffing Level,Dominant,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,kpi_002,Staff Absenteeism Rate,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,kpi_003,Bed Occupancy Rate,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,kpi_004,Average Patient Waiting Time,Available,Valid with Conditions,,,False,False,High,HOSP-001,DEPT-ADM,
