decision_package_id,selected_action,selected_scenario,review_outcome,management_comment,conditions_imposed,reviewer_role,approval_reference,confirmation_checkbox,defer_reason,reject_reason,request_evidence_type,route_to_monitoring,route_to_non_quantitative
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,,,Pending,,,Nursing Director,,False,,,,False,False
