decision_package_id,representative_recommendation,immediate_option,near_term_option,preventive_option,validation_status,confirmation_required,provisional_warning,stakeholder_validation_required,causality_warning,evidence_link,management_questions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,
