decision_package_id,risk_tier,urgency,dominant_kpi_id,dominant_kpi_name,dominant_breach,contributing_factors,contradiction_warning,operational_escalation,management_attention,affected_department,reporting_date,primary_queue,monitoring_trigger
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,56.37,Prompt Review,kpi_001,Staffing Level,Department Admissions on 2025-01-08 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,53.1,Prompt Review,kpi_001,Staffing Level,Department Admissions on 2025-01-16 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250209,67.87,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-02-09 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250328,69.63,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-03-28 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250410,62.63,Prompt Review,kpi_001,Staffing Level,Department Admissions on 2025-04-10 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250420,72.91,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-04-20 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250506,71.49,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-05-06 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250602,46.59,Prompt Review,kpi_001,Staffing Level,Department Admissions on 2025-06-02 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250608,85.74,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-06-08 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250721,70.25,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-07-21 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250726,69.38,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-07-26 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250822,79.21,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-08-22 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251012,51.9,Prompt Review,kpi_001,Staffing Level,Department Admissions on 2025-10-12 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251021,61.93,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-10-21 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251127,65.83,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-11-27 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251205,81.87,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-12-05 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staffing Level: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251220,87.21,Immediate Review,kpi_001,Staffing Level,Department Admissions on 2025-12-20 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250202,68.17,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-02-02 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250206,75.18,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-02-06 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250330,64.57,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-03-30 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250409,65.76,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-04-09 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250524,78.87,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-05-24 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250529,53.88,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-05-29 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250611,76.21,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-06-11 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250620,71.42,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-06-20 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250624,83.34,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-06-24 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
