decision_package_id,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,scenario_assumptions,kpi_impact,tradeoffs,displacement_risk,financial_impact,confidence,validation_warning
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250209,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250328,Baseline value: 84.55182072829132,Estimated impact: 11.833721440383371%,Estimated impact: 15.448179271708682%,Estimated impact: 15.448179271708682%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250410,Baseline value: 83.33333333333334,Estimated impact: 11.1111111111111%,Estimated impact: 16.666666666666657%,Estimated impact: 16.666666666666657%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250420,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250506,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250602,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250608,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250721,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250726,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250822,Baseline value: 73.91304347826086,Estimated impact: 8.695652173913047%,Estimated impact: 21.739130434782624%,Estimated impact: 26.08695652173914%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251012,Baseline value: 80.95238095238095,Estimated impact: 9.523809523809533%,Estimated impact: 19.04761904761905%,Estimated impact: 19.04761904761905%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251021,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251127,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251205,Baseline value: 79.94987468671678,Estimated impact: 10.050125313283218%,Estimated impact: 20.050125313283218%,Estimated impact: 20.050125313283218%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
