financial_input_requirement_id,approval_package_id,scenario_family,required_cost_input,actual_input_available,financial_input_status,missing_input_flag,missing_input_flag
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-2,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,No-Action or Baseline Comparator,recurring_monitoring_cost,False,Missing,True,True
FIN-REQ-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-1,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,No-Action or Baseline Comparator,implementation_cost,False,Missing,True,True
