lineage_id,scenario_run_id,approval_package_id,upstream_phase,upstream_file,upstream_field,downstream_phase,downstream_file,transformation,governance_warning
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Additional Staff Cos,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Temporary Staff Cost,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Avoided Overtime Val,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Additional Shift Cos,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Monitoring Cost,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Implementation Labou,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Project Management C,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Administrative Burde,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-Additional Staff Cos,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
LIN-FIN-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-Temporary Staff Cost,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,2C-2C,analytical_scenario_runs.csv,assumption_values_json,2C-3,step_2c3_scenario_cost_components.csv,Cost component calculation via financial_cost_driver_mapping,
