management_scenario_package_id,approval_package_id,scenario_family,financial_review_required,cost_completeness_status,total_scenario_cost,benefit_completeness_status,total_estimated_benefit,financial_readiness,financial_readiness_reason,governance_warning
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,252750.0,Complete,31500.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
MGMT-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,No-Action or Baseline Comparator,Yes,Complete with Governed Assumptions,78810.0,Complete,6030.0,Ready for Financial Comparison,Complete with Governed Assumptions,Draft analytical estimate — requires stakeholder validation
