forecast_id,hospital,department,department_code,kpi_id,kpi_name,forecast_year,forecast_month,forecast_period_start,forecast_period_end,point_forecast,lower_bound,upper_bound,unit,selected_method,validation_mae,validation_rmse,forecast_quality,eligibility_status,limitation,raw_forecast,constraint_applied,constraint_reason,horizon_months_ahead,horizon_risk,uncertainty_note,forecast_generated_at,training_start_date,training_end_date,training_observation_count,training_month_count,source_actual_file,model_version,approval_status,disclaimer,forecast_status,threshold_rule,threshold_direction,threshold_version
HOSP-001_DEPT-ADM_kpi_001_2026_08,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2026,8,2026-08-01,2026-08-31,88.148487,86.737156,89.559817,Percent,Holt Linear Trend,1.411331,1.411331,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,88.148487,None,,1,nearest indicative horizon,Indicative uncertainty range ±1.41,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ADM_kpi_001_2026_09,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2026,9,2026-09-01,2026-09-30,87.598216,86.186885,89.009547,Percent,Holt Linear Trend,1.411331,1.411331,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,87.598216,None,,2,short indicative horizon,Indicative uncertainty range ±1.41,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ADM_kpi_001_2026_10,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2026,10,2026-10-01,2026-10-31,87.047945,85.636614,88.459276,Percent,Holt Linear Trend,1.411331,1.411331,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,87.047945,None,,3,medium indicative horizon,Indicative uncertainty range ±1.41,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ADM_kpi_001_2026_11,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2026,11,2026-11-01,2026-11-30,86.497674,85.086343,87.909005,Percent,Holt Linear Trend,1.411331,1.411331,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,86.497674,None,,4,extended indicative horizon,Indicative uncertainty range ±1.41,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ADM_kpi_001_2026_12,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2026,12,2026-12-01,2026-12-31,85.947403,84.536073,87.358734,Percent,Holt Linear Trend,1.411331,1.411331,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,85.947403,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±1.41,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ADM_kpi_002_2026_08,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2026,8,2026-08-01,2026-08-31,13.687744,13.539062,13.836427,Percent,Holt Linear Trend,0.148683,0.148683,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,13.687744,None,,1,nearest indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ADM_kpi_002_2026_09,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2026,9,2026-09-01,2026-09-30,14.814429,14.665746,14.963111,Percent,Holt Linear Trend,0.148683,0.148683,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,14.814429,None,,2,short indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Green,Green Band,green,v1.0-approved
HOSP-001_DEPT-ADM_kpi_002_2026_10,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2026,10,2026-10-01,2026-10-31,15.941113,15.792431,16.089796,Percent,Holt Linear Trend,0.148683,0.148683,MODERATE INDICATIVE CONFIDENCE,ELIGIBLE,,15.941113,None,,3,medium indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Amber,Between boundaries,intermediate,v1.0-approved
HOSP-001_DEPT-ADM_kpi_002_2026_11,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2026,11,2026-11-01,2026-11-30,17.067798,16.919115,17.21648,Percent,Holt Linear Trend,0.148683,0.148683,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,17.067798,None,,4,extended indicative horizon,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Amber,Between boundaries,intermediate,v1.0-approved
HOSP-001_DEPT-ADM_kpi_002_2026_12,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2026,12,2026-12-01,2026-12-31,18.194482,18.0458,18.343165,Percent,Holt Linear Trend,0.148683,0.148683,VERY LOW INDICATIVE CONFIDENCE,ELIGIBLE,,18.194482,None,,5,extended indicative horizon with highest uncertainty,Indicative uncertainty range ±0.15,2026-07-31T21:58:58.812731,2026-01-01,2026-07-31,212,7,data/analytical/analytical_six_kpi_daily.csv,1.0.0-indicative,Indicative Prototype,These forecasts are indicative operational estimates generated from available synthetic historical data. They support early-warning demonstration and require further validation before operational deployment.,Amber,Between boundaries,intermediate,v1.0-approved
