warning_id,hospital,department,department_code,kpi_id,kpi_name,forecast_year,forecast_month,point_forecast,lower_bound,upper_bound,forecast_status,latest_actual_status,expected_status_change,warning_level,warning_reason,horizon_months_ahead,forecast_quality,suggested_action_id,suggested_action_text,action_source,action_readiness,outstanding_condition,recommendation_limit,approval_status
WARN_HOSP-001_DEPT-ADM_kpi_001_2025_08,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2025,8,88.148487,86.737156,89.559817,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_001_2025_09,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2025,9,87.598216,86.186885,89.009547,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_001_2025_10,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2025,10,87.047945,85.636614,88.459276,Green,Green,Green to Green,Monitoring,Status stable at Green,3,MODERATE INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_001_2025_11,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2025,11,86.497674,85.086343,87.909005,Green,Green,Green to Green,Monitoring,Status stable at Green,4,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_001_2025_12,HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,2025,12,85.947403,84.536073,87.358734,Green,Green,Green to Green,Monitoring,Status stable at Green,5,VERY LOW INDICATIVE CONFIDENCE,int_001,SUGGESTED ACTION: Temporary Staffing,Intervention Catalogue,Proposed,Review conditions before implementation,Demonstration only; not approved for operational deployment,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_002_2025_08,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2025,8,13.687744,13.539062,13.836427,Green,Green,Green to Green,Monitoring,Status stable at Green,1,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_002_2025_09,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2025,9,14.814429,14.665746,14.963111,Green,Green,Green to Green,Monitoring,Status stable at Green,2,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_002_2025_10,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2025,10,15.941113,15.792431,16.089796,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,3,MODERATE INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_002_2025_11,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2025,11,17.067798,16.919115,17.21648,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,4,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
WARN_HOSP-001_DEPT-ADM_kpi_002_2025_12,HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,2025,12,18.194482,18.0458,18.343165,Amber,Green,Green to Amber,Emerging Warning,Green actual moving to Amber forecast,5,VERY LOW INDICATIVE CONFIDENCE,,No matching intervention found,,Not Ready,Requires intervention catalogue review,Link to permitted interventions only,Indicative Prototype
