hospital,department,department_code,kpi_id,kpi_name,unit,selected_method,selection_reason,validation_mae,validation_rmse,validation_mape,training_months,training_observations,eligibility_status,limitation,approval_status
HOSP-001,Administration,DEPT-ADM,kpi_001,Staffing Level,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (1.4113),1.4113307193993307,1.4113307193993307,0.016048301091584193,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Administration,DEPT-ADM,kpi_002,Staff Absenteeism Rate,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (0.1487),0.14868255308522826,0.14868255308522826,0.01191232330186073,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_001,Staffing Level,Percent,Simple Exponential Smoothing,Lowest validation MAE among eligible methods (2.4336),2.4336182037673715,3.0517501611391253,0.027474074960708486,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,Percent,Simple Exponential Smoothing,Lowest validation MAE among eligible methods (1.7209),1.720894811113369,2.463390401597084,0.1538222007842052,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Emergency Department,DEPT-ED,kpi_001,Staffing Level,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (0.1458),0.145836491112874,0.145836491112874,0.0016702881591548796,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Emergency Department,DEPT-ED,kpi_002,Staff Absenteeism Rate,Percent,Naive Last Value,Fallback to Naive Last Value,1.899518525649199,2.10771257459971,0.2007260652056805,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_001,Staffing Level,Percent,Linear Trend,Lowest validation MAE among eligible methods (1.5572),1.5571547092913676,1.6775939142511218,0.017434250151961546,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_002,Staff Absenteeism Rate,Percent,Linear Trend,Lowest validation MAE among eligible methods (1.3896),1.3895849800496975,1.6194666825640835,0.14275552974260478,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Medical Ward,DEPT-MED,kpi_001,Staffing Level,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (0.1385),0.13853513315672217,0.13853513315672217,0.0015683245669206479,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Medical Ward,DEPT-MED,kpi_002,Staff Absenteeism Rate,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (0.4516),0.45157633468946834,0.45157633468946834,0.03812883243992766,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_001,Staffing Level,Percent,Three-Month Moving Average,Lowest validation MAE among eligible methods (3.0720),3.0720234102530526,3.846666542275862,0.035459610096679445,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_002,Staff Absenteeism Rate,Percent,Three-Month Moving Average,Lowest validation MAE among eligible methods (2.9557),2.9556971464133515,4.193097827536833,0.24755359068075528,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Patient Experience,DEPT-PEX,kpi_001,Staffing Level,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (0.1460),0.1460018436990822,0.1460018436990822,0.0016615383981700563,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Patient Experience,DEPT-PEX,kpi_002,Staff Absenteeism Rate,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (0.8490),0.8489933140939048,0.8489933140939048,0.054873788279404104,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Surgical Ward,DEPT-SURG,kpi_001,Staffing Level,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (0.3896),0.3896348835014578,0.3896348835014578,0.004463573794238272,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Surgical Ward,DEPT-SURG,kpi_002,Staff Absenteeism Rate,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (1.1951),1.1950957899652312,1.1950957899652312,0.1049317761040561,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Intensive Care Unit,DEPT-ICU,kpi_003,Bed Occupancy Rate,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (2.2757),2.27569259469297,2.27569259469297,0.021785858136251175,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Medical Ward,DEPT-MED,kpi_003,Bed Occupancy Rate,Percent,Linear Trend,Lowest validation MAE among eligible methods (1.4532),1.4531988157242732,2.2945113811236073,0.013800028383987356,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Surgical Ward,DEPT-SURG,kpi_003,Bed Occupancy Rate,Percent,Holt Linear Trend,Lowest validation MAE among eligible methods (3.6714),3.671408588170678,3.671408588170678,0.035166289177320224,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_004,Average Patient Waiting Time,Minutes,Holt Linear Trend,Lowest validation MAE among eligible methods (1.9312),1.9311558903861084,1.9311558903861084,0.03509714304005749,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Emergency Department,DEPT-ED,kpi_004,Average Patient Waiting Time,Minutes,Holt Linear Trend,Lowest validation MAE among eligible methods (2.0998),2.0998402972943424,2.0998402972943424,0.038548313210456736,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Outpatient Clinic,DEPT-OPC,kpi_004,Average Patient Waiting Time,Minutes,Linear Trend,Lowest validation MAE among eligible methods (3.8130),3.813032610161874,3.93401325842226,0.07291001430225487,7,212,ELIGIBLE,,Indicative Prototype
HOSP-001,Administration,DEPT-ADM,kpi_006,Patient Satisfaction Score,Score (1-5 scale),Holt Linear Trend,Lowest validation MAE among eligible methods (0.1107),0.11073470901064209,0.11073470901064209,0.036558348907819636,7,171,ELIGIBLE,,Indicative Prototype
HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_005,Patient Complaint Rate,Complaints per 1000 encounters,Holt Linear Trend,Lowest validation MAE among eligible methods (0.9874),0.9873505607048578,0.9873505607048578,0.06250991434460486,7,188,ELIGIBLE,,Indicative Prototype
HOSP-001,Diagnostic Services,DEPT-DIAG,kpi_006,Patient Satisfaction Score,Score (1-5 scale),Simple Exponential Smoothing,Lowest validation MAE among eligible methods (0.1059),0.10593645603733821,0.17624941565544494,0.037203582188777555,7,171,ELIGIBLE,,Indicative Prototype
HOSP-001,Emergency Department,DEPT-ED,kpi_005,Patient Complaint Rate,Complaints per 1000 encounters,Holt Linear Trend,Lowest validation MAE among eligible methods (0.8952),0.895178727604919,0.895178727604919,0.12362706414494146,7,194,ELIGIBLE,,Indicative Prototype
HOSP-001,Emergency Department,DEPT-ED,kpi_006,Patient Satisfaction Score,Score (1-5 scale),Holt Linear Trend,Lowest validation MAE among eligible methods (0.0654),0.06540710575777053,0.06540710575777053,0.02265544394432077,7,181,ELIGIBLE,,Indicative Prototype
