lineage_id,processing_run_id,output_dataset,output_record_id,source_dataset,source_record_id,source_file,source_row_number,transformation_name,transformation_version,lineage_datetime
LIN-E0D1C5A047EB,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000001,patient_complaints,COMP-00000001,patient_complaints.csv,1,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879057
LIN-E959755166F7,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000002,patient_complaints,COMP-00000002,patient_complaints.csv,2,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879119
LIN-F070A63A0D8E,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000003,patient_complaints,COMP-00000003,patient_complaints.csv,3,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879155
LIN-253E8E4C7969,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000004,patient_complaints,COMP-00000004,patient_complaints.csv,4,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879185
LIN-1B7CF3EA93C7,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000005,patient_complaints,COMP-00000005,patient_complaints.csv,5,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879212
LIN-71E0AF89AD55,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000006,patient_complaints,COMP-00000006,patient_complaints.csv,6,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879237
LIN-626B413DA013,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000007,patient_complaints,COMP-00000007,patient_complaints.csv,7,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879261
LIN-B025F9C998B0,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000008,patient_complaints,COMP-00000008,patient_complaints.csv,8,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879285
LIN-83A66B97E4EB,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000009,patient_complaints,COMP-00000009,patient_complaints.csv,9,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879308
LIN-372610D57F7A,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000010,patient_complaints,COMP-00000010,patient_complaints.csv,10,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879332
LIN-7C51ED60DA18,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000011,patient_complaints,COMP-00000011,patient_complaints.csv,11,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879359
LIN-2CBD19C24740,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000012,patient_complaints,COMP-00000012,patient_complaints.csv,12,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879386
LIN-E7306654C89A,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000013,patient_complaints,COMP-00000013,patient_complaints.csv,13,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879411
LIN-0B5AFB860B46,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000014,patient_complaints,COMP-00000014,patient_complaints.csv,14,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879435
LIN-A088785C35A2,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000015,patient_complaints,COMP-00000015,patient_complaints.csv,15,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879460
LIN-032BE151AC66,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000016,patient_complaints,COMP-00000016,patient_complaints.csv,16,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879484
LIN-2AA699EB1EEA,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000017,patient_complaints,COMP-00000017,patient_complaints.csv,17,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879509
LIN-DCBFDA4FCF83,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000018,patient_complaints,COMP-00000018,patient_complaints.csv,18,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879532
LIN-13FB6B48EF3D,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000019,patient_complaints,COMP-00000019,patient_complaints.csv,19,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879556
LIN-F36D1919BBDD,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000020,patient_complaints,COMP-00000020,patient_complaints.csv,20,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879579
LIN-C3A834B7810E,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000021,patient_complaints,COMP-00000021,patient_complaints.csv,21,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879604
LIN-CA370BA521E6,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000022,patient_complaints,COMP-00000022,patient_complaints.csv,22,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879627
LIN-DB722A638C4B,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000023,patient_complaints,COMP-00000023,patient_complaints.csv,23,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879650
LIN-CBB4DB41533E,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000024,patient_complaints,COMP-00000024,patient_complaints.csv,24,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879672
LIN-8C367F96AA19,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000025,patient_complaints,COMP-00000025,patient_complaints.csv,25,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879696
LIN-49D397DB565C,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000026,patient_complaints,COMP-00000026,patient_complaints.csv,26,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879722
LIN-0DA95FEF4CDC,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000027,patient_complaints,COMP-00000027,patient_complaints.csv,27,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879746
LIN-D9183402C851,PROC-PEX-8337749CCBE7,processed_patient_complaints,COMP-00000028,patient_complaints,COMP-00000028,patient_complaints.csv,28,patient_experience_transform,2D-4.0,2026-07-26T22:04:47.879770
