dataset_name,file_path,evidence_manifest,expected_checksum,actual_checksum,checksum_status,checked_datetime
processed_hospital_master,data/processed/processed_hospital_master.csv,prior_manifest,9751bf9ee4213b45d3138190a68a497439c84da385585264813fe3bb49302238,9751bf9ee4213b45d3138190a68a497439c84da385585264813fe3bb49302238,Passed,2026-07-26T20:41:03.649664
processed_department_master,data/processed/processed_department_master.csv,prior_manifest,640ba32cac671692d7baa1dd5d5455df83f1588bb7c3bbe34a8ee279160e3e1f,640ba32cac671692d7baa1dd5d5455df83f1588bb7c3bbe34a8ee279160e3e1f,Passed,2026-07-26T20:41:03.649669
processed_staff_role_master,data/processed/processed_staff_role_master.csv,prior_manifest,5542710f419a1b3b7a5a46c7a48519096967a221a15b1220d84999cd8ded5be6,5542710f419a1b3b7a5a46c7a48519096967a221a15b1220d84999cd8ded5be6,Passed,2026-07-26T20:41:03.649675
processed_staff_master,data/processed/processed_staff_master.csv,prior_manifest,24cc5ba2b71e8719d1cf99a7cfd7ebeb81789029d6c7737005bcb2576de5cb6b,24cc5ba2b71e8719d1cf99a7cfd7ebeb81789029d6c7737005bcb2576de5cb6b,Passed,2026-07-26T20:41:03.649676
processed_staff_roster,data/processed/processed_staff_roster.csv,prior_manifest,c0c532f17ad0cd76591b4f19cff0e12020dcbf7a43804b71a08e50d9b5e3aa0e,c0c532f17ad0cd76591b4f19cff0e12020dcbf7a43804b71a08e50d9b5e3aa0e,Passed,2026-07-26T20:41:03.649677
processed_staff_attendance,data/processed/processed_staff_attendance.csv,prior_manifest,ace920f1b59672484ed111375171a742eb5d0b8e0160d7ec7cf1dc7c80ba4043,ace920f1b59672484ed111375171a742eb5d0b8e0160d7ec7cf1dc7c80ba4043,Passed,2026-07-26T20:41:03.649678
processed_staffing_requirement,data/processed/processed_staffing_requirement.csv,prior_manifest,3489a21aab6c4626d0268d176d0129f8266cafe7e9f914271e8f498959fe932d,3489a21aab6c4626d0268d176d0129f8266cafe7e9f914271e8f498959fe932d,Passed,2026-07-26T20:41:03.649680
processed_workforce_daily,data/processed/processed_workforce_daily.csv,prior_manifest,a5cd78b09d8aa4f4784aeea1735a5979e129c52e461faf09e2c896247607a3d2,a5cd78b09d8aa4f4784aeea1735a5979e129c52e461faf09e2c896247607a3d2,Passed,2026-07-26T20:41:03.649681
processed_patient_encounters,data/processed/processed_patient_encounters.csv,prior_manifest,7d75a4e43f8e3b47ae3298ae1337ed1cdcc422287a8ad5ac5febd2bb350e490f,7d75a4e43f8e3b47ae3298ae1337ed1cdcc422287a8ad5ac5febd2bb350e490f,Passed,2026-07-26T20:41:03.649682
processed_patient_queue,data/processed/processed_patient_queue.csv,prior_manifest,035ae7d548904327e74cfada45dba329bf072e3e58f3f37db7e86a3771a78591,035ae7d548904327e74cfada45dba329bf072e3e58f3f37db7e86a3771a78591,Passed,2026-07-26T20:41:03.649684
processed_bed_capacity,data/processed/processed_bed_capacity.csv,prior_manifest,239fe6b282a9933952e5b17c933ae10d03a2caf5bdf1bdcdcae5dcb4ce543a1b,239fe6b282a9933952e5b17c933ae10d03a2caf5bdf1bdcdcae5dcb4ce543a1b,Passed,2026-07-26T20:41:03.649686
processed_service_schedule,data/processed/processed_service_schedule.csv,prior_manifest,7778444350ad50fbcf6a67c1fe37e08ca66eee507b93ad96d6b7d6febde71c29,7778444350ad50fbcf6a67c1fe37e08ca66eee507b93ad96d6b7d6febde71c29,Passed,2026-07-26T20:41:03.649687
processed_patient_flow_daily,data/processed/processed_patient_flow_daily.csv,prior_manifest,cf31c8ac27d9fd0e83e9cf3c175b364c2b3d9be0e7f85a887285390bc2a6c778,cf31c8ac27d9fd0e83e9cf3c175b364c2b3d9be0e7f85a887285390bc2a6c778,Passed,2026-07-26T20:41:03.649688
