file_category,step_reference,file_path,required_flag,exists_flag,file_size_bytes,checksum,acceptance_status,notes,checked_datetime
Implementation,2A,src/demo_generation_config.py,True,True,18191,002eb70ea6fa37e0da38ab35aeb7d83fdc71595e2c10eafa69f432d2a1568ec8,Present,,2026-07-26T20:27:04.796744
Implementation,2A,src/demo_data_generator.py,True,True,50771,3f0aac3c22ccf072fba0e525b95f0859ab40d09d8e39722f5fec7f4031de1e0d,Present,,2026-07-26T20:27:04.810735
Implementation,2B,src/export_demo_data.py,True,True,10721,7dc632435a45b7b6222e5f28c1579dd202821a316769bd74697f36c78a2c5a6f,Present,,2026-07-26T20:27:04.823837
Implementation,2B,src/profile_demo_data.py,True,True,29138,6d4c0af62692e0433d5385c2186c271b6316c50122ba744d909eeeda8768a4a5,Present,,2026-07-26T20:27:04.836709
Implementation,2C,src/data_validation_engine.py,True,True,64935,568c010c039eba3c78552b26f1e617f738704b29b42d7cb4720ca244ff901483,Present,,2026-07-26T20:27:04.849434
Implementation,,src/run_data_validation.py,True,True,10220,84e389e537746d1298d695ab0139a23d41aab3cf7fc2ad92079ddf31d130f73a,Present,,2026-07-26T20:27:04.862289
Implementation,2C,src/validation_config_loader.py,True,True,30277,0be395fa9c6f3eff3b4f1cf632f35531e00c491f1c870c91dac1c5ab95f612bf,Present,,2026-07-26T20:27:04.880664
Implementation,2C,src/validation_models.py,True,True,12583,2ae7155e987eef78a27a8607669148409d66890254944983d0739e87fb210727,Present,,2026-07-26T20:27:04.898062
Implementation,,src/processing_models.py,True,True,9655,ff692fd9a5e89d22150cdfba93091e5e6b20e0a786a791067d4267bcadacf0bb,Present,,2026-07-26T20:27:04.915091
Implementation,,src/processed_schema_registry.py,True,True,61108,b680a2cc5f8063ab86e20478bfd5e66f734d09867b170114cf9a1637d6b60adf,Present,,2026-07-26T20:27:04.931014
Implementation,,src/processing_config_loader.py,True,True,7168,ba83a94feb05b8fe72397040f008febcb33143ea742e836260911dc561f6b1fe,Present,,2026-07-26T20:27:04.944054
Implementation,,src/processing_contracts.py,True,True,8858,ae331d616f8a785d9d5ca87efd8b9f9c1446db42b7ef11084a46b61411bd42e6,Present,,2026-07-26T20:27:04.954390
