dataset_name,registry_schema_name,required_field_count,actual_field_count,missing_fields,unexpected_fields,data_type_issue_count,schema_status,notes
processed_hospital_master,processed_hospital_master,12,14,,,0,Passed,
processed_department_master,processed_department_master,15,17,,,0,Passed,
processed_staff_role_master,processed_staff_role_master,12,14,,,0,Passed,
processed_staff_master,processed_staff_master,14,16,,,0,Passed,
processed_staff_roster,processed_staff_roster,22,23,,,0,Passed,
processed_staff_attendance,processed_staff_attendance,30,31,,,0,Passed,
processed_staffing_requirement,processed_staffing_requirement,17,18,,,0,Passed,
processed_workforce_daily,processed_workforce_daily,30,30,,,0,Passed,
processed_patient_encounters,processed_patient_encounters,27,28,,,0,Passed,
processed_patient_queue,processed_patient_queue,21,22,,,0,Passed,
processed_bed_capacity,processed_bed_capacity,21,22,,,0,Passed,
processed_service_schedule,processed_service_schedule,21,22,,,0,Passed,
processed_patient_flow_daily,processed_patient_flow_daily,31,31,,,0,Passed,
