issue_id,issue_type,severity,relationship_id,hospital_id,department_id,description,engine_run_id
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,Insufficient Paired Observations,Warning,kpi_001_kpi_003,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,Insufficient Paired Observations,Warning,kpi_001_kpi_004,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,Insufficient Paired Observations,Warning,kpi_001_kpi_005,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,Insufficient Paired Observations,Warning,kpi_002_kpi_003,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,Insufficient Paired Observations,Warning,kpi_002_kpi_004,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,Insufficient Paired Observations,Warning,kpi_002_kpi_005,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,Insufficient Paired Observations,Warning,kpi_003_kpi_006,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,Insufficient Paired Observations,Warning,kpi_004_kpi_005,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,Insufficient Paired Observations,Warning,kpi_004_kpi_006,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,Insufficient Paired Observations,Warning,kpi_005_kpi_006,HOSP-001,DEPT-ADM,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,Insufficient Paired Observations,Warning,kpi_001_kpi_003,HOSP-001,DEPT-DIAG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,Insufficient Paired Observations,Warning,kpi_002_kpi_003,HOSP-001,DEPT-DIAG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-DIAG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-DIAG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,Insufficient Paired Observations,Warning,kpi_003_kpi_006,HOSP-001,DEPT-DIAG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,Insufficient Paired Observations,Warning,kpi_001_kpi_003,HOSP-001,DEPT-ED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,Insufficient Paired Observations,Warning,kpi_002_kpi_003,HOSP-001,DEPT-ED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-ED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-ED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,Insufficient Paired Observations,Warning,kpi_003_kpi_006,HOSP-001,DEPT-ED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,Insufficient Paired Observations,Warning,kpi_001_kpi_004,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,Insufficient Paired Observations,Warning,kpi_001_kpi_005,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,Insufficient Paired Observations,Warning,kpi_002_kpi_004,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,Insufficient Paired Observations,Warning,kpi_002_kpi_005,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,Insufficient Paired Observations,Warning,kpi_004_kpi_005,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,Insufficient Paired Observations,Warning,kpi_004_kpi_006,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
