approval_package_id,package_readiness,baseline_validity,comparator_set_status,dominance_validation_status,sensitivity_robustness,displacement_validation_status,interpretation_validation_status,scenario_validation_index
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250108,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250116,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250209,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250328,Requires Assumption Review,Valid,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.406
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250410,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250420,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250506,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250602,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250608,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250721,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250726,Requires Assumption Review,Unrepresentative,Inconsistent,Confirmed,Not Assessable,Weakly Supported,Valid,0.312
