approval_package_id,comparator_type,comparator_id,assumption_profile,assumption_set_id,scenario_template_id,scenario_family,comparator_consistency,distinct_types_count,distinct_assumption_sets_count,distinct_values_count,consistency_detail,pre_correction_profile_detected,distinct_profile_status,ordering_correct,comparator_closure_reason
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,2,,False,Distinct profiles confirmed,True,Closed — Consistent
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Baseline;Conservative;Expected;Higher Intensity,COMP-BASE-001;COMP-CONS-001;COMP-EXP-001;COMP-HIGH-001,,staffing-default,SCEN-STAFF-001,Staffing Coverage Adjustment,Consistent,3,3,3,,False,Distinct profiles confirmed,True,Closed — Consistent
