approval_package_id,episode_id,scenario_family,current_readiness,closure_status,reason,missing_requirement,required_next_action,responsible_role,future_reassessment_condition,governance_warning
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Package classified as Monitoring Only during closure.,Monitoring Only,Continue monitoring; no action required,Scenario Analyst,Awaiting correction of identified issue,Package not ready for management comparison. Do not use for decision.
