management_scenario_package_id,approval_package_id,episode_id,hospital_id,department_id,department_name,scenario_family,dominant_kpi_id,dominant_kpi_name,observed_problem,risk_score,priority_tier,urgency,representative_recommendation,contradiction_severity,provisional_warning,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,comparator_completeness,comparator_consistency,primary_kpi_effects,supporting_kpi_effects,tradeoff_summary,displacement_summary,sensitivity_summary,dominance_summary,baseline_validity,assumption_plausibility,numerical_validity,final_scenario_confidence,scenario_validation_status,validation_scorecard_band,package_readiness,management_questions,required_confirmation,monitoring_requirements,scenario_limitations,management_action_required,financial_review_required,financial_input_requirements,approval_status
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 83.33333333333334,Estimated impact: 11.1111111111111%,Estimated impact: 16.666666666666657%,Estimated impact: 16.666666666666657%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 80.0,Estimated impact: 13.333333333333329%,Estimated impact: 20.0%,Estimated impact: 20.0%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 77.77777777777779,Estimated impact: 11.1111111111111%,Estimated impact: 22.22222222222221%,Estimated impact: 22.22222222222221%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 84.55182072829132,Estimated impact: 11.833721440383371%,Estimated impact: 15.448179271708682%,Estimated impact: 15.448179271708682%,4/4 present,Consistent,Decrease; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 83.33333333333334,Estimated impact: 11.1111111111111%,Estimated impact: 16.666666666666657%,Estimated impact: 16.666666666666657%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 78.57142857142857,Estimated impact: 14.285714285714292%,Estimated impact: 21.42857142857143%,Estimated impact: 21.42857142857143%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 83.33333333333334,Estimated impact: 11.1111111111111%,Estimated impact: 16.666666666666657%,Estimated impact: 16.666666666666657%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
MGMT-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,HOSP-001,DEPT-ADM,Admissions,No-Action or Baseline Comparator,kpi_001,Kpi 001,,,,,,No Contradiction,False,Baseline value: 64.70588235294117,Estimated impact: 11.764705882352942%,Estimated impact: 29.411764705882348%,Estimated impact: 35.294117647058826%,4/4 present,Consistent,No Change; Increase,,No trade-offs,Displacement risk flagged,,,Valid,Assumed valid,Valid,Insufficient Evidence,Valid with Conditions,Acceptable with Conditions,Ready with Conditions,Are assumptions realistic? Is baseline data complete?,Management review required before any decision.,Monitor KPI trends during any trial.,Analytical scenario only. Not confirmed. No financial impact calculated.,Compare Scenarios;Send to Financial Review,Yes,Cost inputs required for financial-impact analysis.,Pending Management Review
