scenario_run_id,approval_package_id,episode_id,comparator_id,comparator_type,scenario_template_id,baseline_id,primary_kpi_id,assumption_version,assumption_set_id,baseline_source,evidence_id,lineage_id,overall_validation_status,governance_warning,closure_status
SR-BL-868B3BEA99B84FFE-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,-BLOCKED,Baseline,,BL-868B3BEA99B84FFE,kpi_001,,,BL-868B3BEA99B84FFE,,,Valid with Conditions,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,COMP-BASE-001,Baseline,SCEN-STAFF-001,BL-0F2C9FAD4B411D32,kpi_001,,staffing-default,BL-0F2C9FAD4B411D32,EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-EP-5,Valid with Conditions,,Closed — Valid with Conditions
SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,COMP-CONS-001,Conservative,SCEN-STAFF-001,BL-0F2C9FAD4B411D32,kpi_001,,staffing-default,BL-0F2C9FAD4B411D32,EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-EP-5,Valid with Conditions,,Closed — Valid with Conditions
SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,COMP-EXP-001,Expected,SCEN-STAFF-001,BL-0F2C9FAD4B411D32,kpi_001,,staffing-default,BL-0F2C9FAD4B411D32,EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-EP-5,Valid with Conditions,Staffing coverage capped at 100.0%.,Closed — Valid with Conditions
SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,COMP-HIGH-001,Higher Intensity,SCEN-STAFF-001,BL-0F2C9FAD4B411D32,kpi_001,,staffing-default,BL-0F2C9FAD4B411D32,EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-EP-5,Valid with Conditions,Staffing coverage capped at 100.0%.,Closed — Valid with Conditions
SR-BL-7248F57B557B2D88-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,-BLOCKED,Baseline,,BL-7248F57B557B2D88,kpi_001,,,BL-7248F57B557B2D88,,,Valid with Conditions,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-FA960D624BB4A356-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,-BLOCKED,Baseline,,BL-FA960D624BB4A356,kpi_001,,,BL-FA960D624BB4A356,,,Valid with Conditions,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Closed — Unsupported
SR-BL-8967EE194089397D-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,COMP-BASE-001,Baseline,SCEN-STAFF-001,BL-8967EE194089397D,kpi_001,,staffing-default,BL-8967EE194089397D,EV-SR-BL-8967EE194089397D-COMP-BASE-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-BASE-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-BASE-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-BASE-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-BASE-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-BASE-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-EP-5,Valid with Conditions,,Closed — Valid with Conditions
SR-BL-8967EE194089397D-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,COMP-CONS-001,Conservative,SCEN-STAFF-001,BL-8967EE194089397D,kpi_001,,staffing-default,BL-8967EE194089397D,EV-SR-BL-8967EE194089397D-COMP-CONS-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-CONS-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-CONS-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-CONS-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-CONS-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-CONS-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-EP-5,Valid with Conditions,,Closed — Valid with Conditions
SR-BL-8967EE194089397D-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,COMP-EXP-001,Expected,SCEN-STAFF-001,BL-8967EE194089397D,kpi_001,,staffing-default,BL-8967EE194089397D,EV-SR-BL-8967EE194089397D-COMP-EXP-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-EXP-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-EXP-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-EXP-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-EXP-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-EXP-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-EP-5,Valid with Conditions,Staffing coverage capped at 100.0%.,Closed — Valid with Conditions
