hospital,department,department_code,year,month,kpi_id,kpi_name,period_type,displayed_value,expected_source_file,actual_source_file,source_record_id,source_valid,actual_future_row_used,validation_note
HOSP-001,DEPT-ED,DEPT-ED,2026,8,kpi_001,kpi_001,FORECAST,86.3,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_001_2026_08,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,9,kpi_001,kpi_001,FORECAST,85.4,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_001_2026_09,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,10,kpi_001,kpi_001,FORECAST,84.4,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_001_2026_10,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,11,kpi_001,kpi_001,FORECAST,83.5,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_001_2026_11,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,12,kpi_001,kpi_001,FORECAST,82.6,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_001_2026_12,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,8,kpi_002,kpi_002,FORECAST,12.5,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_002_2026_08,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,9,kpi_002,kpi_002,FORECAST,12.5,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_002_2026_09,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,10,kpi_002,kpi_002,FORECAST,12.5,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_002_2026_10,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,11,kpi_002,kpi_002,FORECAST,12.5,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_002_2026_11,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,12,kpi_002,kpi_002,FORECAST,12.5,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/analytical_kpi_monthly_forecast.csv,HOSP-001_DEPT-ED_kpi_002_2026_12,True,False,"eligible forecast, single governed source"
HOSP-001,DEPT-ED,DEPT-ED,2026,8,kpi_003,kpi_003,FORECAST,,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/kpi_forecast_eligibility_audit.csv,,True,False,ineligible: Below minimum daily observation or month count
HOSP-001,DEPT-ED,DEPT-ED,2026,9,kpi_003,kpi_003,FORECAST,,outputs/forecasting/analytical_kpi_monthly_forecast.csv,outputs/forecasting/kpi_forecast_eligibility_audit.csv,,True,False,ineligible: Below minimum daily observation or month count
