hospital,department,department_code,year,month,dominant_kpi_id,action_id,financial_record_id,decision_package_id,scenario_id,intervention_cost,benefit,governed_net,calculated_net,context_match,reconciliation_status,fallback_used,validation_note
HOSP-001,All Departments,ALL,2026,1,kpi_003,ACTION-kpi_003,562,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260131,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,All Departments,ALL,2026,2,kpi_003,ACTION-kpi_003,264,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,All Departments,ALL,2026,3,,,418,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260331,,Complete with Governed Assumptions,Partial,-72780.0,-72780.0,True,RECONCILED,False,OK
HOSP-001,All Departments,ALL,2026,4,,,523,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260430,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,All Departments,ALL,2026,5,,,108,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,Complete with Governed Assumptions,Partial,-134350.0,-134350.0,True,RECONCILED,False,OK
HOSP-001,All Departments,ALL,2026,6,kpi_003,ACTION-kpi_003,273,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,All Departments,ALL,2026,7,kpi_003,ACTION-kpi_003,388,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260731,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Emergency Department,DEPT-ED,2026,1,,,220,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Emergency Department,DEPT-ED,2026,2,,,213,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Emergency Department,DEPT-ED,2026,3,,,224,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Emergency Department,DEPT-ED,2026,4,,,206,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Emergency Department,DEPT-ED,2026,5,,,171,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,,Complete with Governed Assumptions,Partial,-72780.0,-72780.0,True,RECONCILED,False,OK
HOSP-001,Emergency Department,DEPT-ED,2026,6,kpi_004,ACTION-kpi_004,192,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Emergency Department,DEPT-ED,2026,7,kpi_004,ACTION-kpi_004,228,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,1,kpi_003,ACTION-kpi_003,288,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,2,kpi_003,ACTION-kpi_003,264,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,3,,,294,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,4,,,269,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260429,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,5,,,271,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260530,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,6,kpi_003,ACTION-kpi_003,273,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,7,kpi_003,ACTION-kpi_003,330,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260730,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Medical Ward,DEPT-MED,2026,1,kpi_003,ACTION-kpi_003,360,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Medical Ward,DEPT-MED,2026,2,kpi_003,ACTION-kpi_003,389,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260224,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Medical Ward,DEPT-MED,2026,3,,,345,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260330,,Complete with Governed Assumptions,Partial,-72780.0,-72780.0,True,RECONCILED,False,OK
HOSP-001,Medical Ward,DEPT-MED,2026,4,,,377,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Medical Ward,DEPT-MED,2026,5,kpi_003,ACTION-kpi_003,381,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Medical Ward,DEPT-MED,2026,6,kpi_003,ACTION-kpi_003,398,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260629,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Medical Ward,DEPT-MED,2026,7,kpi_003,ACTION-kpi_003,388,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260731,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Admissions,DEPT-ADM,2026,1,,,36,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Admissions,DEPT-ADM,2026,2,,,37,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Admissions,DEPT-ADM,2026,3,,,19,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Admissions,DEPT-ADM,2026,4,,,42,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Admissions,DEPT-ADM,2026,5,,,22,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,,Complete with Governed Assumptions,Partial,-221250.0,-221250.0,True,RECONCILED,False,OK
HOSP-001,Admissions,DEPT-ADM,2026,6,,,46,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Admissions,DEPT-ADM,2026,7,,,10,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,Complete with Governed Assumptions,Partial,-72780.0,-72780.0,True,RECONCILED,False,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,1,,,114,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Diagnostics,DEPT-DIAG,2026,2,,,143,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Diagnostics,DEPT-DIAG,2026,3,,,145,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Diagnostics,DEPT-DIAG,2026,4,,,107,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Diagnostics,DEPT-DIAG,2026,5,,,108,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,Complete with Governed Assumptions,Partial,-134350.0,-134350.0,True,RECONCILED,False,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,6,kpi_004,ACTION-kpi_004,125,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Diagnostics,DEPT-DIAG,2026,7,kpi_004,ACTION-kpi_004,152,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,1,,,478,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260129,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,2,,,479,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260211,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,3,,,418,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260331,,Complete with Governed Assumptions,Partial,-72780.0,-72780.0,True,RECONCILED,False,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,4,,,460,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260430,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,5,,,424,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260530,,Complete with Governed Assumptions,Partial,-72780.0,-72780.0,True,RECONCILED,False,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,6,kpi_004,ACTION-kpi_004,465,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260629,,Complete with Governed Assumptions,Partial,-134350.0,-134350.0,True,RECONCILED,False,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,7,kpi_004,ACTION-kpi_004,472,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_005-20260728,,nan,nan,nan,nan,True,UNRECONCILED,False,CONTEXT_MATCH_BUT_READINESS
