department,reporting_date,kpi_id,kpi_name,value,status,severity_score,breach_magnitude,trend_score,persistence_score,confidence_score,final_priority_rank,selected_as_dominant,selection_reason
DEPT-ADM,2026-01-01,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-01-07,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-01-08,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-01-11,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-01-16,kpi_001,Staffing Level,80.0,Amber,2.0,0.04984383748269379,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-01-21,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-01-28,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-01-30,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-02-02,kpi_002,Staff Absenteeism Rate,23.809523809523807,Red,3.0,0.24999999999999986,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-02-02,kpi_001,Staffing Level,80.95238095238095,Amber,2.0,0.03853245459558304,0,0,0,2,False,
DEPT-ADM,2026-02-06,kpi_002,Staff Absenteeism Rate,27.27272727272727,Red,3.0,0.43181818181818166,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-02-09,kpi_001,Staffing Level,77.77777777777779,Red,3.0,0.02777777777777768,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-02-14,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-02-28,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-03-11,kpi_001,Staffing Level,81.81818181818183,Amber,2.0,0.028249379243663993,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-03-19,kpi_001,Staffing Level,82.35294117647058,Amber,2.0,0.021898067996890765,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-03-20,kpi_006,Patient Satisfaction Score,2.5,Amber,2.0,0.10824812795528192,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-03-25,kpi_006,Patient Satisfaction Score,2.0,Red,3.0,0.2,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-03-28,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-03-29,kpi_006,Patient Satisfaction Score,2.6666666666666665,Amber,2.0,0.04879800315230077,0,0,0,1,True,Highest composite severity score
DEPT-ADM,2026-03-29,kpi_001,Staffing Level,83.33333333333334,Amber,2.0,0.010253997377805918,0,0,0,2,False,
