kpi_id,kpi_name,raw_value_example,normalized_value_example,canonical_scale,scale_adjusted,raw_threshold_lower_red,raw_threshold_lower_amber,raw_threshold_green_lower,raw_threshold_green_upper,raw_threshold_upper_amber,raw_threshold_upper_red,normalized_threshold_lower_red,normalized_threshold_lower_amber,normalized_threshold_green_lower,normalized_threshold_green_upper,normalized_threshold_upper_amber,normalized_threshold_upper_red,directionality,comparison_expression,expected_status,actual_status,scale_validation_status,boundary_validation_status,approval_status,effective_date,threshold_is_provisional
kpi_001,Staffing Level,100.0,100.0,0-100,False,80.0,84.19668593008033,84.19668593008033,100.0,,,80.0,84.19668593008033,84.19668593008033,100.0,,,HIGHER_IS_BETTER,Above green threshold (84.19668593008033),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_001,Staffing Level,94.4,94.4,0-100,False,80.0,84.19668593008033,84.19668593008033,100.0,,,80.0,84.19668593008033,84.19668593008033,100.0,,,HIGHER_IS_BETTER,Above green threshold (84.19668593008033),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_001,Staffing Level,82.3,82.3,0-100,False,80.0,84.19668593008033,84.19668593008033,100.0,,,80.0,84.19668593008033,84.19668593008033,100.0,,,HIGHER_IS_BETTER,Below warning threshold (84.19668593008033),Amber,Amber,PASS,PASS,Approved,2026-07-28,False
kpi_001,Staffing Level,84.6,84.6,0-100,False,80.0,84.19668593008033,84.19668593008033,100.0,,,80.0,84.19668593008033,84.19668593008033,100.0,,,HIGHER_IS_BETTER,Above green threshold (84.19668593008033),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_001,Staffing Level,79.0,79.0,0-100,False,80.0,84.19668593008033,84.19668593008033,100.0,,,80.0,84.19668593008033,84.19668593008033,100.0,,,HIGHER_IS_BETTER,Below critical threshold (80.0),Red,Red,PASS,PASS,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,0.0,0.0,0-100,False,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,LOWER_IS_BETTER,Below green threshold (15.001220617023437),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,5.6,5.6,0-100,False,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,LOWER_IS_BETTER,Below green threshold (15.001220617023437),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,15.4,15.4,0-100,False,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,LOWER_IS_BETTER,Above warning threshold (15.001220617023437),Amber,Amber,PASS,PASS,Approved,2026-07-28,False
kpi_002,Staff Absenteeism Rate,20.0,20.0,0-100,False,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,,,0.0,15.001220617023437,19.047619047619047,19.047619047619047,LOWER_IS_BETTER,Above critical threshold (19.047619047619047),Red,Red,PASS,PASS,Approved,2026-07-28,False
kpi_003,Bed Occupancy Rate,90.0,90.0,0-100,False,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,TARGET_BAND,Within target band,Green,Green,PASS,PASS,Conditionally Approved,2026-07-28,True
kpi_003,Bed Occupancy Rate,102.0,102.0,0-100,False,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,TARGET_BAND,Above green upper bound (100.16047931158654),Amber,Amber,PASS,PASS,Conditionally Approved,2026-07-28,True
kpi_003,Bed Occupancy Rate,105.0,105.0,0-100,False,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,TARGET_BAND,Above critical upper bound (104.76190476190476),Red,Red,PASS,PASS,Conditionally Approved,2026-07-28,True
kpi_003,Bed Occupancy Rate,83.0,83.0,0-100,False,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,81.71809841534612,86.11897763218477,86.11897763218477,100.16047931158654,100.16047931158654,104.76190476190476,TARGET_BAND,Below green lower bound (86.11897763218477),Amber,Amber,PASS,PASS,Conditionally Approved,2026-07-28,True
kpi_004,Average Patient Waiting Time,10.0,10.0,raw,False,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,LOWER_IS_BETTER,Below green threshold (47.24228685036204),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_004,Average Patient Waiting Time,50.0,50.0,raw,False,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,LOWER_IS_BETTER,Above warning threshold (47.24228685036204),Amber,Amber,PASS,PASS,Approved,2026-07-28,False
kpi_004,Average Patient Waiting Time,55.0,55.0,raw,False,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,,,26.24,47.24228685036204,54.08749262536873,54.08749262536873,LOWER_IS_BETTER,Above critical threshold (54.08749262536873),Red,Red,PASS,PASS,Approved,2026-07-28,False
kpi_005,Patient Complaint Rate,0.0,0.0,raw,False,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,LOWER_IS_BETTER,Below green threshold (14.778812840390938),Green,Green,PASS,PASS,Conditionally Approved,2026-07-28,True
kpi_005,Patient Complaint Rate,15.0,15.0,raw,False,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,LOWER_IS_BETTER,Above warning threshold (14.778812840390938),Amber,Amber,PASS,PASS,Conditionally Approved,2026-07-28,True
kpi_005,Patient Complaint Rate,20.0,20.0,raw,False,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,,,0.0,14.778812840390938,19.743739079790338,19.743739079790338,LOWER_IS_BETTER,Above critical threshold (19.743739079790338),Red,Red,PASS,PASS,Conditionally Approved,2026-07-28,True
kpi_006,Patient Satisfaction Score,5.0,5.0,raw,False,2.5,2.803470425318753,2.803470425318753,5.0,,,2.5,2.803470425318753,2.803470425318753,5.0,,,HIGHER_IS_BETTER,Above green threshold (2.803470425318753),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,4.0,4.0,raw,False,2.5,2.803470425318753,2.803470425318753,5.0,,,2.5,2.803470425318753,2.803470425318753,5.0,,,HIGHER_IS_BETTER,Above green threshold (2.803470425318753),Green,Green,PASS,PASS,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,2.8,2.8,raw,False,2.5,2.803470425318753,2.803470425318753,5.0,,,2.5,2.803470425318753,2.803470425318753,5.0,,,HIGHER_IS_BETTER,Below warning threshold (2.803470425318753),Amber,Amber,PASS,PASS,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,2.5,2.5,raw,False,2.5,2.803470425318753,2.803470425318753,5.0,,,2.5,2.803470425318753,2.803470425318753,5.0,,,HIGHER_IS_BETTER,Below critical threshold (2.5),Red,Red,PASS,PASS,Approved,2026-07-28,False
kpi_006,Patient Satisfaction Score,2.0,2.0,raw,False,2.5,2.803470425318753,2.803470425318753,5.0,,,2.5,2.803470425318753,2.803470425318753,5.0,,,HIGHER_IS_BETTER,Below critical threshold (2.5),Red,Red,PASS,PASS,Approved,2026-07-28,False
