hospital,department,department_code,year,month,kpi_id,kpi_name,valid_observation_count,canonical_monthly_value,card_value,unit,calculation_status,value_expected,value_displayed,values_match,missing_reason,validation_note
HOSP-001,Admissions,DEPT-ADM,2026,1,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Admissions,DEPT-ADM,2026,1,kpi_006,Patient Satisfaction Score,24,3.3680555555555554,3.4,Score (1-5 scale),Calculated,3.3681,3.4,True,,
HOSP-001,Admissions,DEPT-ADM,2026,2,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Admissions,DEPT-ADM,2026,2,kpi_006,Patient Satisfaction Score,24,3.5416666666666665,3.5,Score (1-5 scale),Calculated,3.5417,3.5,True,,
HOSP-001,Admissions,DEPT-ADM,2026,3,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Admissions,DEPT-ADM,2026,3,kpi_006,Patient Satisfaction Score,24,3.431944444444444,3.4,Score (1-5 scale),Calculated,3.4319,3.4,True,,
HOSP-001,Admissions,DEPT-ADM,2026,4,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Admissions,DEPT-ADM,2026,4,kpi_006,Patient Satisfaction Score,25,3.066666666666667,3.1,Score (1-5 scale),Calculated,3.0667,3.1,True,,
HOSP-001,Admissions,DEPT-ADM,2026,5,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Admissions,DEPT-ADM,2026,5,kpi_006,Patient Satisfaction Score,27,3.289506172839506,3.3,Score (1-5 scale),Calculated,3.2895,3.3,True,,
HOSP-001,Admissions,DEPT-ADM,2026,6,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Admissions,DEPT-ADM,2026,6,kpi_006,Patient Satisfaction Score,24,2.897222222222222,2.9,Score (1-5 scale),Calculated,2.8972,2.9,True,,
HOSP-001,Admissions,DEPT-ADM,2026,7,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Admissions,DEPT-ADM,2026,7,kpi_006,Patient Satisfaction Score,23,3.028985507246377,3.0,Score (1-5 scale),Calculated,3.0290,3.0,True,,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,1,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,1,kpi_006,Patient Satisfaction Score,23,3.6594202898550727,3.7,Score (1-5 scale),Calculated,3.6594,3.7,True,,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,2,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,2,kpi_006,Patient Satisfaction Score,16,3.578125,3.6,Score (1-5 scale),Calculated,3.5781,3.6,True,,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,3,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,3,kpi_006,Patient Satisfaction Score,22,3.416666666666667,3.4,Score (1-5 scale),Calculated,3.4167,3.4,True,,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,4,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,4,kpi_006,Patient Satisfaction Score,23,3.278985507246377,3.3,Score (1-5 scale),Calculated,3.2790,3.3,True,,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,5,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,5,kpi_006,Patient Satisfaction Score,27,3.30679012345679,3.3,Score (1-5 scale),Calculated,3.3068,3.3,True,,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,6,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,6,kpi_006,Patient Satisfaction Score,24,2.871527777777778,2.9,Score (1-5 scale),Calculated,2.8715,2.9,True,,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,7,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,7,kpi_006,Patient Satisfaction Score,24,2.85,2.9,Score (1-5 scale),Calculated,2.8500,2.9,True,,
HOSP-001,Medical Ward,DEPT-MED,2026,1,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Medical Ward,DEPT-MED,2026,1,kpi_006,Patient Satisfaction Score,23,3.579710144927536,3.6,Score (1-5 scale),Calculated,3.5797,3.6,True,,
HOSP-001,Medical Ward,DEPT-MED,2026,2,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Medical Ward,DEPT-MED,2026,2,kpi_006,Patient Satisfaction Score,23,3.5710144927536227,3.6,Score (1-5 scale),Calculated,3.5710,3.6,True,,
HOSP-001,Medical Ward,DEPT-MED,2026,3,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Medical Ward,DEPT-MED,2026,3,kpi_006,Patient Satisfaction Score,23,3.503623188405797,3.5,Score (1-5 scale),Calculated,3.5036,3.5,True,,
HOSP-001,Medical Ward,DEPT-MED,2026,4,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Medical Ward,DEPT-MED,2026,4,kpi_006,Patient Satisfaction Score,27,3.29320987654321,3.3,Score (1-5 scale),Calculated,3.2932,3.3,True,,
HOSP-001,Medical Ward,DEPT-MED,2026,5,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Medical Ward,DEPT-MED,2026,5,kpi_006,Patient Satisfaction Score,25,3.138666666666667,3.1,Score (1-5 scale),Calculated,3.1387,3.1,True,,
HOSP-001,Medical Ward,DEPT-MED,2026,6,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Medical Ward,DEPT-MED,2026,6,kpi_006,Patient Satisfaction Score,24,2.888888888888889,2.9,Score (1-5 scale),Calculated,2.8889,2.9,True,,
HOSP-001,Medical Ward,DEPT-MED,2026,7,kpi_005,Patient Complaint Rate,0,N/A,—,Complaints per 1000 encounters,,N/A,—,False,No valid monthly data in canonical table,
HOSP-001,Medical Ward,DEPT-MED,2026,7,kpi_006,Patient Satisfaction Score,28,2.8095238095238098,2.8,Score (1-5 scale),Calculated,2.8095,2.8,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,1,kpi_005,Patient Complaint Rate,28,3.45101288252883,3.5,Complaints per 1000 encounters,Calculated,3.4510,3.5,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,1,kpi_006,Patient Satisfaction Score,26,3.37051282051282,3.4,Score (1-5 scale),Calculated,3.3705,3.4,True,,
HOSP-001,Emergency Department,DEPT-ED,2026,2,kpi_005,Patient Complaint Rate,22,5.995246909312209,6.0,Complaints per 1000 encounters,Calculated,5.9952,6.0,True,,
