kpi_id,kpi_name,directionality,candidate_id,candidate_name,candidate_type,calibration_method,green_lower_boundary,green_upper_boundary,lower_amber_boundary,upper_amber_boundary,unit,boundary_inclusivity_rule,valid_observation_count,data_sufficiency,green_percentage,amber_percentage,red_percentage,amber_plus_red_burden,potential_alert_days,stable_segments,unstable_segments,trend_agreement_percentage,technical_recommendation,recommendation_strength,limitations
kpi_001,Staffing Level,Higher is better,CAND-CFFC26CDAEA8,kpi_001_Percentile-Based_Calibration_Conservative,Conservative,Percentile-Based Calibration,85.71428571428571,100.0,85.71428571428571,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2920,Strong,77.43150684931507,17.602739726027398,4.965753424657534,Moderate,659,10,0,66.66666666666666,Preferred: kpi_001_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_001,Staffing Level,Higher is better,CAND-9132137F3353,kpi_001_Hybrid_Candidate_Calibration_Balanced,Balanced,Hybrid Candidate Calibration,84.19668593008033,100.0,84.19668593008033,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2920,Strong,81.19863013698631,10.0,8.801369863013699,Moderate,549,11,0,66.66666666666666,Preferred: kpi_001_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_001,Staffing Level,Higher is better,CAND-D39195440C4F,kpi_001_Percentile-Based_Calibration_Sensitive,Sensitive,Percentile-Based Calibration,100.0,100.0,100.0,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2920,Strong,27.328767123287676,50.1027397260274,22.568493150684933,Very High,2122,12,0,66.66666666666666,Preferred: kpi_001_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_002,Staff Absenteeism Rate,Lower is better,CAND-608F03EF0032,kpi_002_Percentile-Based_Calibration_Conservative,Conservative,Percentile-Based Calibration,0.0,13.333333333333334,,23.07692307692308,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2920,Strong,75.54794520547945,18.698630136986303,5.753424657534247,Moderate,714,9,1,66.66666666666666,Preferred: kpi_002_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_002,Staff Absenteeism Rate,Lower is better,CAND-401D561CEDE3,kpi_002_Hybrid_Candidate_Calibration_Balanced,Balanced,Hybrid Candidate Calibration,0.0,15.001220617023437,,19.047619047619047,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2920,Strong,79.7945205479452,10.17123287671233,10.034246575342468,Moderate,590,9,0,66.66666666666666,Preferred: kpi_002_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_002,Staff Absenteeism Rate,Lower is better,CAND-7D40F54C5FD8,kpi_002_Percentile-Based_Calibration_Sensitive,Sensitive,Percentile-Based Calibration,0.0,0.0,,13.333333333333334,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2920,Strong,31.40410958904109,42.19178082191781,26.4041095890411,Very High,2003,10,0,66.66666666666666,Preferred: kpi_002_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_003,Bed Occupancy Rate,Context-sensitive,CAND-CA0102EBD968,kpi_003_Percentile-Based_Calibration_Conservative,Conservative,Percentile-Based Calibration,85.84905660377359,100.0,85.84905660377359,100.0,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",1095,Strong,54.06392694063927,36.25570776255708,9.680365296803654,Very High,503,4,2,75.0,Preferred: kpi_003_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Moderate Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_003,Bed Occupancy Rate,Context-sensitive,CAND-302D7A9F11B5,kpi_003_Hybrid_Candidate_Calibration_Balanced,Balanced,Hybrid Candidate Calibration,86.11897763218477,100.16047931158654,86.11897763218477,100.16047931158654,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",1095,Strong,53.24200913242009,25.570776255707763,21.187214611872147,Very High,512,4,1,75.0,Preferred: kpi_003_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Moderate Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_003,Bed Occupancy Rate,Context-sensitive,CAND-1EC4883C83DB,kpi_003_Percentile-Based_Calibration_Sensitive,Sensitive,Percentile-Based Calibration,93.33333333333331,100.0,93.33333333333331,100.0,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",1095,Strong,29.132420091324203,34.794520547945204,36.07305936073059,Very High,776,10,2,75.0,Preferred: kpi_003_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Moderate Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_004,Average Patient Waiting Time,Lower is better,CAND-3BF16ED2129B,kpi_004_Percentile-Based_Calibration_Conservative,Conservative,Percentile-Based Calibration,26.24,45.44239694239694,,55.83097770154375,Minutes,"Lower boundary inclusive, upper exclusive; global maximum inclusive",1095,Strong,74.9771689497717,20.0,5.0228310502283104,High,274,1,11,33.33333333333333,Preferred: kpi_004_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_004,Average Patient Waiting Time,Lower is better,CAND-B80C86F00895,kpi_004_Hybrid_Candidate_Calibration_Balanced,Balanced,Hybrid Candidate Calibration,26.24,47.24228685036204,,54.08749262536873,Minutes,"Lower boundary inclusive, upper exclusive; global maximum inclusive",1095,Strong,80.09132420091323,9.863013698630136,10.04566210045662,Moderate,218,3,2,33.33333333333333,Preferred: kpi_004_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_004,Average Patient Waiting Time,Lower is better,CAND-C7926AE694F2,kpi_004_Percentile-Based_Calibration_Sensitive,Sensitive,Percentile-Based Calibration,26.24,37.248456790123456,,45.44239694239694,Minutes,"Lower boundary inclusive, upper exclusive; global maximum inclusive",1095,Strong,25.022831050228312,49.954337899543376,25.022831050228312,Very High,821,1,9,33.33333333333333,Preferred: kpi_004_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_005,Patient Complaint Rate,Lower is better,CAND-9415103FD987,kpi_005_Percentile-Based_Calibration_Conservative,Conservative,Percentile-Based Calibration,0.0,12.195121951219512,,23.809523809523807,Complaints per 1000 encounters,"Lower boundary inclusive, upper exclusive; global maximum inclusive",984,Moderate,75.3048780487805,19.410569105691057,5.284552845528456,Moderate,243,11,0,66.66666666666666,Preferred: kpi_005_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Moderate Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_005,Patient Complaint Rate,Lower is better,CAND-F76D963AE6DE,kpi_005_Hybrid_Candidate_Calibration_Balanced,Balanced,Hybrid Candidate Calibration,0.0,14.778812840390938,,19.743739079790338,Complaints per 1000 encounters,"Lower boundary inclusive, upper exclusive; global maximum inclusive",984,Moderate,78.86178861788618,11.077235772357724,10.0609756097561,Moderate,208,9,0,66.66666666666666,Preferred: kpi_005_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Moderate Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_005,Patient Complaint Rate,Lower is better,CAND-E8AC265EF263,kpi_005_Percentile-Based_Calibration_Sensitive,Sensitive,Percentile-Based Calibration,0.0,0.0,,12.195121951219512,Complaints per 1000 encounters,"Lower boundary inclusive, upper exclusive; global maximum inclusive",984,Moderate,54.36991869918699,20.528455284552845,25.10162601626017,Very High,449,8,1,66.66666666666666,Preferred: kpi_005_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Moderate Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_006,Patient Satisfaction Score,Higher is better,CAND-CB8525C68FEC,kpi_006_Percentile-Based_Calibration_Conservative,Conservative,Percentile-Based Calibration,3.0,5.0,3.0,,1-5 Likert Score,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2383,Strong,83.75996642887117,15.694502727654216,0.5455308434746118,Moderate,387,9,0,66.66666666666666,Preferred: kpi_006_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_006,Patient Satisfaction Score,Higher is better,CAND-A643D6F72D76,kpi_006_Hybrid_Candidate_Calibration_Balanced,Balanced,Hybrid Candidate Calibration,2.803470425318753,5.0,2.803470425318753,,1-5 Likert Score,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2383,Strong,83.75996642887117,6.546370121695342,9.693663449433489,Moderate,387,9,0,66.66666666666666,Preferred: kpi_006_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
kpi_006,Patient Satisfaction Score,Higher is better,CAND-F088CC0F3975,kpi_006_Percentile-Based_Calibration_Sensitive,Sensitive,Percentile-Based Calibration,3.6666666666666665,5.0,3.6666666666666665,,1-5 Likert Score,"Lower boundary inclusive, upper exclusive; global maximum inclusive",2383,Strong,27.570289550986157,56.18967687788502,16.24003357112883,Very High,1726,9,1,66.66666666666666,Preferred: kpi_006_Hybrid_Candidate_Calibration_Balanced (Balanced) for stakeholder review.,Strong Technical Candidate,Provisional candidate for Step 2B-1A review only.
