validation_record_id,kpi_id,integration_record_id,kpi_value,calculation_status,promoted_threshold_status,occupancy_context_status,threshold_version,approval_status,threshold_is_provisional,decision_record_id,promotion_run_id,classified_at
VAL-E315497D7C59,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,80.0,Calculated,Amber,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.013849
VAL-7F446164D640,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,95.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.013931
VAL-FDAF62A404BD,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,90.47619047619048,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.013971
VAL-2079525C9EE5,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,93.33333333333331,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014004
VAL-6AC69D738EF2,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,100.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014035
VAL-E2DBE66CB215,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,90.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014065
VAL-BB1D2EF17A5F,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,80.0,Calculated,Amber,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014094
VAL-CF570D034AB9,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,83.33333333333334,Calculated,Amber,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014123
VAL-D50F9358FEB0,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,100.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014155
VAL-9A0513C2CB99,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,90.47619047619048,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014182
VAL-EEEF2F8DFD51,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,82.35294117647058,Calculated,Amber,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014210
VAL-D31C44649418,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,100.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014238
VAL-3E93BC859024,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,88.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014267
VAL-38B28766D833,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,86.66666666666667,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014297
VAL-76296FDBAC21,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,88.88888888888889,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014324
VAL-5189616D950D,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,80.0,Calculated,Amber,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014351
VAL-B4311D093887,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,100.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014391
VAL-64106597A02C,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,100.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014433
VAL-B3859341F275,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,94.44444444444444,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014474
VAL-99D5FB47C07C,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,90.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014504
VAL-C80DC85C0720,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,82.35294117647058,Calculated,Amber,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014533
VAL-9A6DD3DBCD24,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,100.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014561
VAL-B5799B848D6B,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,96.15384615384616,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014589
VAL-B4C9799ADEDA,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,100.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014617
VAL-0E1F27A7D92A,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,94.44444444444444,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014644
VAL-86B17AB5D5EA,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,90.0,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014671
VAL-FAC1D16EFFE0,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,91.30434782608695,Calculated,Green,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014700
VAL-7D33871F248D,kpi_001,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,82.35294117647058,Calculated,Amber,,v1.0-approved,Approved,False,DEC-001,THAPP-32EDF6F03C19,2026-07-27T20:24:06.014728
