threshold_candidate_id,kpi_id,kpi_name,candidate_name,candidate_type,directionality,lower_red_boundary,lower_amber_boundary,green_lower_boundary,green_upper_boundary,upper_amber_boundary,upper_red_boundary,unit,boundary_inclusivity_rule,calibration_method,calibration_period_start,calibration_period_end,valid_observation_count,unavailable_observation_count,data_sufficiency,approval_status,threshold_is_provisional,version,rationale,limitations,candidate_validity_status,rejection_reason,duplicate_of_candidate_id,technical_score,score_components,recommendation_strength,created_at
CAND-CFFC26CDAEA8,kpi_001,Staffing Level,kpi_001_Percentile-Based_Calibration_Conservative,Conservative,Higher is better,76.47058823529412,85.71428571428571,85.71428571428571,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Percentile-Based Calibration,2026-01-01,2026-12-31,2920,0,Strong,Pending Stakeholder Review,True,v1.0-candidate,Percentile-Based Calibration Conservative candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011378
CAND-A6A9415AD5F1,kpi_001,Staffing Level,kpi_001_Mean_and_Standard-Deviation_Calibration_Conservative,Conservative,Higher is better,76.47058823529412,82.67908614587496,82.67908614587496,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Mean and Standard-Deviation Calibration,2026-01-01,2026-12-31,2920,0,Strong,Candidate,True,v1.0-candidate,Mean and Standard-Deviation Calibration Conservative candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011412
CAND-290BCD02DAB1,kpi_001,Staffing Level,kpi_001_Median_and_MAD_Calibration_Conservative,Conservative,Higher is better,76.47058823529412,82.73809523809524,82.73809523809524,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Median and MAD Calibration,2026-01-01,2026-12-31,2920,0,Strong,Candidate,True,v1.0-candidate,Median and MAD Calibration Conservative candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011428
CAND-C6E17CB1727E,kpi_001,Staffing Level,kpi_001_Percentile-Based_Calibration_Balanced,Balanced,Higher is better,80.0,91.66666666666666,91.66666666666666,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Percentile-Based Calibration,2026-01-01,2026-12-31,2920,0,Strong,Candidate,True,v1.0-candidate,Percentile-Based Calibration Balanced candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011442
CAND-FBC373F20963,kpi_001,Staffing Level,kpi_001_Mean_and_Standard-Deviation_Calibration_Balanced,Balanced,Higher is better,80.0,86.72036420318041,86.72036420318041,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Mean and Standard-Deviation Calibration,2026-01-01,2026-12-31,2920,0,Strong,Candidate,True,v1.0-candidate,Mean and Standard-Deviation Calibration Balanced candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011454
CAND-0DA80789107E,kpi_001,Staffing Level,kpi_001_Median_and_MAD_Calibration_Balanced,Balanced,Higher is better,80.0,85.71428571428571,85.71428571428571,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Median and MAD Calibration,2026-01-01,2026-12-31,2920,0,Strong,Candidate,True,v1.0-candidate,Median and MAD Calibration Balanced candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011465
CAND-D39195440C4F,kpi_001,Staffing Level,kpi_001_Percentile-Based_Calibration_Sensitive,Sensitive,Higher is better,85.71428571428571,100.0,100.0,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Percentile-Based Calibration,2026-01-01,2026-12-31,2920,0,Strong,Pending Stakeholder Review,True,v1.0-candidate,Percentile-Based Calibration Sensitive candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011477
CAND-04A0595A90EB,kpi_001,Staffing Level,kpi_001_Mean_and_Standard-Deviation_Calibration_Sensitive,Sensitive,Higher is better,85.71428571428571,90.76164226048586,90.76164226048586,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Mean and Standard-Deviation Calibration,2026-01-01,2026-12-31,2920,0,Strong,Candidate,True,v1.0-candidate,Mean and Standard-Deviation Calibration Sensitive candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011487
CAND-98491B9B2FE4,kpi_001,Staffing Level,kpi_001_Median_and_MAD_Calibration_Sensitive,Sensitive,Higher is better,85.71428571428571,88.69047619047618,88.69047619047618,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Median and MAD Calibration,2026-01-01,2026-12-31,2920,0,Strong,Candidate,True,v1.0-candidate,Median and MAD Calibration Sensitive candidate for kpi_001.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011498
CAND-9132137F3353,kpi_001,Staffing Level,kpi_001_Hybrid_Candidate_Calibration_Balanced,Balanced,Higher is better,80.0,84.19668593008033,84.19668593008033,100.0,,,Percent,"Lower boundary inclusive, upper exclusive; global maximum inclusive",Hybrid Candidate Calibration,2026-01-01,2026-12-31,2920,0,Strong,Pending Stakeholder Review,True,v1.0-candidate,Hybrid balanced: average of percentile balanced and mean-SD balanced boundaries.,Provisional candidate for Step 2B-1A review only.,Valid,,,,,,2026-07-27T19:24:36.011510
