kpi_id,history_status,count
kpi_001,Complete,22880
kpi_001,Insufficient,16
kpi_001,Missing,280
kpi_001,Partial,184
kpi_002,Complete,22880
kpi_002,Insufficient,16
kpi_002,Missing,280
kpi_002,Partial,184
kpi_003,Complete,8580
kpi_003,Insufficient,6
kpi_003,Missing,105
kpi_003,Partial,69
kpi_003,Unavailable,14600
kpi_004,Complete,8580
kpi_004,Insufficient,6
kpi_004,Missing,105
kpi_004,Partial,69
kpi_004,Unavailable,14600
kpi_005,Complete,7502
kpi_005,Insufficient,6
kpi_005,Missing,97
kpi_005,Partial,69
kpi_005,Unavailable,15686
kpi_006,Complete,17740
kpi_006,Insufficient,16
kpi_006,Missing,227
kpi_006,Partial,210
kpi_006,Unavailable,5167
