kpi_id,comparison_type,calculation_status,count
kpi_001,Baseline Period Average,Calculated,2912
kpi_001,Baseline Period Average,Comparison Value Unavailable,8
kpi_001,Previous Available Day,Calculated,2912
kpi_001,Previous Available Day,Comparison Value Unavailable,8
kpi_001,Previous Calendar Day,Calculated,2912
kpi_001,Previous Calendar Day,Comparison Value Unavailable,8
kpi_001,Previous Month,Calculated,2704
kpi_001,Previous Month,Comparison Value Unavailable,216
kpi_001,Previous Week,Calculated,2864
kpi_001,Previous Week,Comparison Value Unavailable,56
kpi_001,Rolling 14-Day Average,Calculated,2920
kpi_001,Rolling 30-Day Average,Calculated,2920
kpi_001,Rolling 7-Day Average,Calculated,2920
kpi_002,Baseline Period Average,Calculated,2912
kpi_002,Baseline Period Average,Comparison Value Unavailable,8
kpi_002,Previous Available Day,Calculated,2912
kpi_002,Previous Available Day,Comparison Value Unavailable,8
kpi_002,Previous Calendar Day,Calculated,2912
kpi_002,Previous Calendar Day,Comparison Value Unavailable,8
kpi_002,Previous Month,Calculated,2704
kpi_002,Previous Month,Comparison Value Unavailable,216
kpi_002,Previous Week,Calculated,2864
kpi_002,Previous Week,Comparison Value Unavailable,56
kpi_002,Rolling 14-Day Average,Calculated,2920
kpi_002,Rolling 30-Day Average,Calculated,2920
kpi_002,Rolling 7-Day Average,Calculated,2920
kpi_003,Baseline Period Average,Calculated,1092
kpi_003,Baseline Period Average,Comparison Value Unavailable,3
kpi_003,Baseline Period Average,Current Value Unavailable,1825
kpi_003,Previous Available Day,Calculated,1092
kpi_003,Previous Available Day,Comparison Value Unavailable,3
kpi_003,Previous Available Day,Current Value Unavailable,1825
kpi_003,Previous Calendar Day,Calculated,1092
kpi_003,Previous Calendar Day,Comparison Value Unavailable,3
kpi_003,Previous Calendar Day,Current Value Unavailable,1825
kpi_003,Previous Month,Calculated,1014
kpi_003,Previous Month,Comparison Value Unavailable,81
kpi_003,Previous Month,Current Value Unavailable,1825
kpi_003,Previous Week,Calculated,1074
